plot #,irrigation type,irrigation type 2,soil,jute,jute 2,Inoc,Bare_1,Rock_1,Lichen_1,Moss_1,%Bare_1,% cyano_1,%lichen,%moss,%LS_1,%TotalBiocrust_1,Bare_2,Rock_2,Cyano_2,Lichen_2,Bare fabric_2,Moss_2,%Bare_1 2,% cyano_1 2,%lichen 2,%moss 2,%LS_1 2,%TotalBiocrust_1 2,Biocrustpower2,Column 44 1,Column 44 2,Column 44 3,Column 44 4,Plant_2,% plant,Average of LBug_g,Average of TBug_g,Average of Gug_g,tot chl a (665+750),Row Labels,Average of LBmg_L,Average of TBmg_L,Average of LBug,Average of LBug_g 2,Average of TBug_g 2,Average of Gug,Average of Gug_g 2,Average of Gmg_L,Average of TBug,USEtotal plant (including dead),ArcSinHsqrtTotalplant,USEtotal native plant,ArcSinHsqrtNativePlantCov,Square Root[tot...l native plant],total exotic plant,Dead exotic plant,Dead exotic plant 2,USESum[DeadandLive exotic plant],ArcSinHsqrtTotalNNcov,Residual total exotic plant,Square Root[Res...l exotic plant],Residual %TotalBiocrust_1 2,Pearson Residual
84,GH,Greenhouse,sand,no,no jute,B,18,1,6,,72,0,24,0,24,24,3,1,19,1,,1,12,76,4,4,8,84,7056,,,,,0.5,3,,,,26.60,,,,,,,,,,,3,0.1723505421,1.5,0.1221703494,1.2247448714,1.5,,0,1.5,0.1221703494,-0.1,,-8.8,-1598.4
85,GH,Greenhouse,sand,J,jute,B,14,5,6,,56,0,24,0,24,24,2,1,19,1,,2,8,76,4,8,12,88,7744,,,,,0.5,1.5,,,,46.48,,,,,,,,,,,1.5,0.1221703494,0.5,0.0706518847,0.7071067812,1,,0,1,0.0998340789,-0.45,,-4,-836
86,GH,Greenhouse,native,no,no jute,B,18,3,4,,72,0,16,0,16,16,3,0.5,17,1,,4,12,68,4,16,20,88,7744,,,,,0.5,3,,,,40.52,,,,,,,,,,,3,0.1723505421,1.5,0.1221703494,1.2247448714,1.5,,0,1.5,0.1221703494,-0.1,,2.4,368
87,GH,Greenhouse,sand,no,no jute,B,20,1,4,,80,0,16,0,16,16,2,2,20,0.5,,1,8,80,2,4,6,86,7396,,,,,0.5,0.5,,,,32.11,,,,,,,,,,,0.5,0.0706518847,0,0,0,0.5,,0,0.5,0.0706518847,-1.1,,-6.8,-1258.4
88,GH,Greenhouse,sand,J,jute,B,18,,7,,72,0,28,0,28,28,0.5,1,18,1,,5,2,72,4,20,24,96,9216,,,,,0.5,4.5,,,,25.19,,,,,,,,,,,4.5,0.2105724243,2,0.1409541445,1.4142135624,2.5,,0,2.5,0.1574623783,1.05,1.0246950766,4,636
89,GH,Greenhouse,native,J,jute,B,15,5,5,,60,0,20,0,20,20,0.5,0.5,18,1,,6,2,72,4,24,28,100,10000,,,,,0.5,3,,,,94.57,,,,,,,,,,,3,0.1723505421,2,0.1409541445,1.4142135624,1,,0,1,0.0998340789,-0.6,,7.8,1481.2
90,GH,Greenhouse,native,J,jute,B,12,9,4,,48,0,16,0,16,16,1,1,17,2,,4,4,68,8,16,24,92,8464,,,,,0.5,4,,,,62.77,,,,,,,,,,,4,0.1986901103,2.5,0.1574623783,1.5811388301,1.5,,0,1.5,0.1221703494,-0.1,,-0.2,-54.8
91,GH,Greenhouse,sand,J,jute,C,17,8,,,68,0,0,0,0,0,25,0.5,0,0,,0,100,0,0,0,0,0,0,,,,,0,0,,,,5.72,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,,,,
92,GH,Greenhouse,native,J,jute,B,9,9,7,,36,0,28,0,28,28,1,1,18,1,,4,4,72,4,16,20,92,8464,,,,,0.5,5,254.0806777,389.0156978,573.228205,81.96,92,10.456543,26.20736667,57.534774,254.0806777,389.0156978,129.62665,573.228205,21.94696667,88.5225,5,0.2217841272,3.5,0.1860083911,1.8708286934,1.5,,0,1.5,0.1221703494,-0.1,,-0.2,-54.8
93,GH,Greenhouse,sand,J,jute,C,18,7,,,72,0,0,0,0,0,25,0.5,0,0,,0,100,0,0,0,0,0,0,,,,,0,0,,,,23.63,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,,,,
94,GH,Greenhouse,sand,J,jute,B,17,3,5,,68,0,20,0,20,20,8,1,13,0.5,,3,32,52,2,12,14,66,4356,,,,,0.5,3,,,,61.58,,,,,,,,,,,3,0.1723505421,2,0.1409541445,1.4142135624,1,,0,1,0.0998340789,-0.45,,-26,-4224
95,GH,Greenhouse,sand,J,jute,B,16,3,6,,64,0,24,0,24,24,1,1,17,1,,5,4,68,4,20,24,92,8464,,,,,0.5,4.5,,,,54.04,,,,,,,,,,,4.5,0.2105724243,3,0.1723505421,1.7320508076,1.5,,0,1.5,0.1221703494,0.05,0.2236067977,-1.42109e-14,-116
96,GH,Greenhouse,native,J,jute,B,14,4,7,,56,0,28,0,28,28,1,1,20,1,,2,4,80,4,8,12,92,8464,,,,,0.5,2.5,263.7044727,508.5626067,766.3342857,112.33,96,10.357686,29.76861667,56.941632,263.7044727,508.5626067,165.70725,766.3342857,27.9604,109.89,2.5,0.1574623783,1.5,0.1221703494,1.2247448714,1,,0,1,0.0998340789,-0.6,,-0.2,-54.8
97,GH,Greenhouse,native,J,jute,B,12,10,3,,48,0,12,0,12,12,2,2,13,3,,5,8,52,12,20,32,84,7056,,,,,0.5,3.5,417.9913798,565.874854,666.6554123,72.76,97,15.794821,31.70186667,89.564442,417.9913798,565.874854,143.00485,666.6554123,24.17666667,121.4895,3.5,0.1860083911,1,0.0998340789,1,2.5,,0,2.5,0.1574623783,0.9,0.9486832981,-8.2,-1462.8
98,GH,Greenhouse,sand,J,jute,B,14,9,2,,56,0,8,0,8,8,2,2,16,1,,4,8,64,4,16,20,84,7056,,,,,0.5,2,,,,57.30,,,,,,,,,,,2,0.1409541445,1,0.0998340789,1,1,,0,1,0.0998340789,-0.45,,-8,-1524
99,GH,Greenhouse,native,J,jute,B,18,4,3,,72,0,12,0,12,12,1,0,20,1,,3,4,80,4,12,16,96,9216,,,,,0.5,3.5,,,,71.92,,,,,,,,,,,3.5,0.1860083911,2.5,0.1574623783,1.5811388301,1,,0,1,0.0998340789,-0.6,,3.8,697.2
100,GH,Greenhouse,native,J,jute,B,11,4,10,,44,0,40,0,40,40,1,2,18,0.5,,4,4,72,2,16,18,90,8100,,,,,0.5,3,1134.440625,382.6670275,435.464031,61.86,100,41.33287933,25.08811667,242.792792,1134.440625,382.6670275,93.14065,435.464031,15.86596667,81.807,3,0.1723505421,2,0.1409541445,1.4142135624,1,,0,1,0.0998340789,-0.6,,-2.2,-418.8
101,GH,Greenhouse,sand,no,no jute,C,20,5,,,80,0,0,0,0,0,25,0.5,0.5,0,,0,100,2,0,0,0,2,4,,,,,0,0,,,,18.23,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,,,,
102,GH,Greenhouse,sand,J,jute,B,19,4,2,,76,0,8,0,8,8,0.5,0.5,20,2,,3,2,80,8,12,20,100,10000,,,,,0.5,3.5,,,,68.26,,,,,,,,,,,3.5,0.1860083911,2,0.1409541445,1.4142135624,1.5,,0,1.5,0.1221703494,0.05,0.2236067977,8,1420
103,GH,Greenhouse,sand,J,jute,B,13,8,4,,52,0,16,0,16,16,1,1,16,0.5,,7,4,64,2,28,30,94,8836,,,,,0.5,4.5,,,,40.52,,,,,,,,,,,4.5,0.2105724243,2.5,0.1574623783,1.5811388301,2,,0,2,0.1409541445,0.55,0.7416198487,2,256
104,GH,Greenhouse,native,no,no jute,B,11,11,3,,44,0,12,0,12,12,3,2,15,2,,3,12,60,8,12,20,80,6400,,,,,0.5,4,,,,145.82,,,,,,,,,,,4,0.1986901103,1.5,0.1221703494,1.2247448714,2.5,,0,2.5,0.1574623783,0.9,0.9486832981,-5.6,-976
105,GH,Greenhouse,native,J,jute,C,4,21,,,16,0,0,0,0,0,10,3,7,0,,0,40,28,0,0,0,28,784,,,,,0,0,,,,86.81,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,,,,
106,GH,Greenhouse,native,J,jute,B,15,6,4,,60,0,16,0,16,16,0.5,2,17,1,,5,2,68,4,20,24,92,8464,,,,,0.5,5,,,,85.85,,,,,,,,,,,5,0.2217841272,2.5,0.1574623783,1.5811388301,2.5,,0,2.5,0.1574623783,0.9,0.9486832981,-0.2,-54.8
107,GH,Greenhouse,native,J,jute,B,17,5,3,,68,0,12,0,12,12,1,0.5,17,1,,6,4,68,4,24,28,96,9216,,,,,0.5,4,,,,99.90,,,,,,,,,,,4,0.1986901103,2.5,0.1574623783,1.5811388301,1.5,,0,1.5,0.1221703494,-0.1,,3.8,697.2
108,GH,Greenhouse,native,J,jute,B,9,12,4,,36,0,16,0,16,16,1,2,16,1,,5,4,64,4,20,24,88,7744,,,,,0.5,5,541.8302531,531.974108,821.2975505,107.38,108,20.144529,30.51478333,115.66269,541.8302531,531.974108,176.24765,821.2975505,29.71713333,114.367,5,0.2217841272,2.5,0.1574623783,1.5811388301,2.5,,0,2.5,0.1574623783,0.9,0.9486832981,-4.2,-774.8
