S/Transect,Quadra,SpCode,DKH,code,Base stems,Basal area (sq cm),Hmin,Hmax,CanDepth,Crwn D1,Crwn D2,CrwnDiam,slope,Soiltex,Elev (m),Trcov (%),Shcov (%),Hcov (%),Bare (%),CanArea =  ?r² ,CanArea     = ?D1D2/4 ,Diff,CanVol 
L1,L157,ACACTO,2.2,,b,3.80,0.3,1.63,1.33,3.86,2.57,3.22,2,1,1655,10,5,75,25,8.11,7.79,0.33,6.9
L1,L157,ACACTO,3.2,,b,8.04,0.3,1.63,1.33,3.86,2.57,3.22,2,1,1655,10,5,75,25,8.11,7.79,0.33,6.9
L1,L157,ACACME,5,M,M,19.63,0.86,2.63,1.77,2.77,2.5,2.64,2,1,1655,10,5,75,25,5.45,5.44,0.01,6.41
L1,L157,ACACME,3.1,,b,7.54,0.86,2.63,1.77,2.77,2.5,2.64,2,1,1655,10,5,75,25,5.45,5.44,0.01,6.41
L1,L157,ACACME,4.2,,b,13.85,0.86,2.63,1.77,2.77,2.5,2.64,2,1,1655,10,5,75,25,5.45,5.44,0.01,6.41
L1,L157,ACACME,23.2,M,M,422.52,0.3,6.1,5.8,5.8,3.94,4.87,2,1,1655,10,5,75,25,18.62,17.94,0.68,69.36
L1,L157,ACACME,11.3,M,M,100.24,0.8,4.15,3.35,4.34,3.73,4.04,2,1,1655,10,5,75,25,12.78,12.71,0.07,28.38
L1,L157,ACACME,4.8,,b,18.09,0.8,4.15,3.35,4.34,3.73,4.04,2,1,1655,10,5,75,25,12.78,12.71,0.07,28.38
L1,L157,ACACME,9.2,,b,66.44,0.8,4.15,3.35,4.34,3.73,4.04,2,1,1655,10,5,75,25,12.78,12.71,0.07,28.38
L1,L157,ACACME,10.4,,b,84.91,0.8,4.15,3.35,4.34,3.73,4.04,2,1,1655,10,5,75,25,12.78,12.71,0.07,28.38
L1,L157,ACACTO,14,M,M,153.86,1.06,3.45,2.39,4.78,4.6,4.69,2,1,1655,10,5,75,25,17.27,17.26,0.01,27.5
L1,L157,ACACME,6.2,M,M,30.18,0.91,2.61,1.7,3.53,1.9,2.72,2,1,1655,10,5,75,25,5.79,5.26,0.52,5.97
L1,L157,ACACET,7.3,M,M,41.83,0.4,2.56,2.16,2.61,2.93,2.77,2,1,1655,10,5,75,25,6.02,6,0.02,8.64
L1,L157,ACACET,6.1,,b,29.21,0.4,2.56,2.16,2.61,2.93,2.77,2,1,1655,10,5,75,25,6.02,6,0.02,8.64
L1,L158,ACACTO,4.6,M,M,16.61,0.7,1.73,1.03,2.67,2.31,2.49,3,1,1655,15,0,90,10,4.87,4.84,0.03,3.32
L1,L158,ACACET,13.7,M,M,147.34,0.9,3.67,2.77,4.3,3.89,4.1,3,1,1655,15,0,90,10,13.16,13.13,0.03,24.25
L1,L158,ACACTO,10.3,M,M,83.28,0.82,2.24,1.42,2.88,3.4,3.14,3,1,1655,15,0,90,10,7.74,7.69,0.05,7.28
L1,L158,ACACTO,2.9,,b,6.60,0.82,2.24,1.42,2.88,3.4,3.14,3,1,1655,15,0,90,10,7.74,7.69,0.05,7.28
L1,L158,ACACTO,4.2,,b,13.85,0.82,2.24,1.42,2.88,3.4,3.14,3,1,1655,15,0,90,10,7.74,7.69,0.05,7.28
L1,L158,ACACTO,5.6,,b,24.62,0.82,2.24,1.42,2.88,3.4,3.14,3,1,1655,15,0,90,10,7.74,7.69,0.05,7.28
L1,L158,ACACET,19.9,M,M,310.87,0.2,4.23,4.03,4.74,6.69,5.72,3,1,1655,15,0,90,10,25.64,24.89,0.75,66.88
L1,L158,ACACME,5.5,M,M,23.75,0.95,2.57,1.62,2.68,2.57,2.63,3,1,1655,15,0,90,10,5.41,5.41,0,5.84
L1,L158,ACACTO,12.6,M,M,124.63,1.5,3.94,2.44,7.81,9.34,8.58,3,1,1655,15,0,90,10,57.72,57.26,0.46,93.15
L1,L158,ACACTO,16,M,M,200.96,1.22,3.95,2.73,5.14,3.78,4.46,3,1,1655,15,0,90,10,15.61,15.25,0.36,27.76
L1,L159,ACACTO,19.8,M,M,307.75,0.38,3.95,3.57,5.51,4.68,5.1,3,1,1658,40,10,85,15,20.38,20.24,0.14,48.18
L1,L159,ACACME,7.3,M,M,41.83,0.4,1.19,0.79,1.75,1.83,1.79,3,1,1658,40,10,85,15,2.52,2.51,0,1.32
L1,L159,ACACME,6.8,,b,36.30,0.4,1.19,0.79,1.75,1.83,1.79,3,1,1658,40,10,85,15,2.52,2.51,0,1.32
L1,L159,ACACME,2.3,,b,4.15,0.4,1.19,0.79,1.75,1.83,1.79,3,1,1658,40,10,85,15,2.52,2.51,0,1.32
L1,L159,ACACME,4.1,M,M,13.20,0.6,2.8,2.2,3.32,3.84,3.58,3,1,1658,40,10,85,15,10.06,10.01,0.05,14.68
L1,L159,ACACME,2.7,,b,5.72,0.6,2.8,2.2,3.32,3.84,3.58,3,1,1658,40,10,85,15,10.06,10.01,0.05,14.68
L1,L159,ACACME,3.3,,b,8.55,0.6,2.8,2.2,3.32,3.84,3.58,3,1,1658,40,10,85,15,10.06,10.01,0.05,14.68
L1,L159,ACACME,3.1,,b,7.54,0.6,2.8,2.2,3.32,3.84,3.58,3,1,1658,40,10,85,15,10.06,10.01,0.05,14.68
L1,L159,ACACME,3.5,,b,9.62,0.6,2.8,2.2,3.32,3.84,3.58,3,1,1658,40,10,85,15,10.06,10.01,0.05,14.68
L1,L159,ACACME,1.7,,b,2.27,0.6,2.8,2.2,3.32,3.84,3.58,3,1,1658,40,10,85,15,10.06,10.01,0.05,14.68
L1,L159,ACACME,9.4,M,M,69.36,0.46,2.31,1.85,5.52,3.62,4.57,3,1,1658,40,10,85,15,16.39,15.69,0.71,19.35
L1,L159,ACACME,4.6,,b,16.61,0.46,2.31,1.85,5.52,3.62,4.57,3,1,1658,40,10,85,15,16.39,15.69,0.71,19.35
L1,L159,ACACME,4.5,,b,15.90,0.46,2.31,1.85,5.52,3.62,4.57,3,1,1658,40,10,85,15,16.39,15.69,0.71,19.35
L1,L159,ACACME,6.6,,b,34.19,0.46,2.31,1.85,5.52,3.62,4.57,3,1,1658,40,10,85,15,16.39,15.69,0.71,19.35
L1,L159,ACACME,6.9,,b,37.37,0.46,2.31,1.85,5.52,3.62,4.57,3,1,1658,40,10,85,15,16.39,15.69,0.71,19.35
L1,L159,ACACME,7.3,,b,41.83,0.46,2.31,1.85,5.52,3.62,4.57,3,1,1658,40,10,85,15,16.39,15.69,0.71,19.35
L1,L159,ACACME,7.7,,b,46.54,0.46,2.31,1.85,5.52,3.62,4.57,3,1,1658,40,10,85,15,16.39,15.69,0.71,19.35
L1,L159,ACACME,7.8,,b,47.76,0.46,2.31,1.85,5.52,3.62,4.57,3,1,1658,40,10,85,15,16.39,15.69,0.71,19.35
L1,L159,ACACME,5.6,M,M,24.62,0.55,4.6,4.05,3.27,2.48,2.88,3,1,1658,40,10,85,15,6.49,6.37,0.12,17.19
L1,L159,ACACME,4.5,,b,15.90,0.55,4.6,4.05,3.27,2.48,2.88,3,1,1658,40,10,85,15,6.49,6.37,0.12,17.19
L1,L159,ACACME,3.8,,b,11.34,0.55,4.6,4.05,3.27,2.48,2.88,3,1,1658,40,10,85,15,6.49,6.37,0.12,17.19
L1,L159,ACACME,2.3,,b,4.15,0.55,4.6,4.05,3.27,2.48,2.88,3,1,1658,40,10,85,15,6.49,6.37,0.12,17.19
L1,L159,ACACET,8.5,M,M,56.72,0.51,2.23,1.72,3.13,2.56,2.85,3,1,1658,40,10,85,15,6.35,6.29,0.06,7.21
L1,L159,ACACET,3.5,,b,9.62,0.51,2.23,1.72,3.13,2.56,2.85,3,1,1658,40,10,85,15,6.35,6.29,0.06,7.21
L1,L159,ACACME,7.6,M,M,45.34,0.4,4.3,3.9,4.64,5.13,4.89,3,1,1658,40,10,85,15,18.73,18.69,0.05,48.58
L1,L159,ACACME,3.5,,b,9.62,0.4,4.3,3.9,4.64,5.13,4.89,3,1,1658,40,10,85,15,18.73,18.69,0.05,48.58
L1,L159,ACACME,6.6,,b,34.19,0.4,4.3,3.9,4.64,5.13,4.89,3,1,1658,40,10,85,15,18.73,18.69,0.05,48.58
L1,L159,ACACME,6.7,,b,35.24,0.4,4.3,3.9,4.64,5.13,4.89,3,1,1658,40,10,85,15,18.73,18.69,0.05,48.58
L1,L159,ACACME,4.8,,b,18.09,0.4,4.3,3.9,4.64,5.13,4.89,3,1,1658,40,10,85,15,18.73,18.69,0.05,48.58
L1,L159,ACACME,7.3,,b,41.83,0.4,4.3,3.9,4.64,5.13,4.89,3,1,1658,40,10,85,15,18.73,18.69,0.05,48.58
L1,L159,ACACME,6.1,,b,29.21,0.4,4.3,3.9,4.64,5.13,4.89,3,1,1658,40,10,85,15,18.73,18.69,0.05,48.58
L1,L159,ACACME,6.4,,b,32.15,0.4,4.3,3.9,4.64,5.13,4.89,3,1,1658,40,10,85,15,18.73,18.69,0.05,48.58
L1,L159,ACACME,8.4,M,M,55.39,1.09,4.47,3.38,5.33,4.73,5.03,3,1,1658,40,10,85,15,19.86,19.79,0.07,44.59
L1,L159,ACACME,6.8,,b,36.30,1.09,4.47,3.38,5.33,4.73,5.03,3,1,1658,40,10,85,15,19.86,19.79,0.07,44.59
L1,L159,ACACME,6.9,,b,37.37,1.09,4.47,3.38,5.33,4.73,5.03,3,1,1658,40,10,85,15,19.86,19.79,0.07,44.59
L1,L159,ACACME,5.9,,b,27.33,1.09,4.47,3.38,5.33,4.73,5.03,3,1,1658,40,10,85,15,19.86,19.79,0.07,44.59
L1,L159,ACACME,5.8,,b,26.41,1.09,4.47,3.38,5.33,4.73,5.03,3,1,1658,40,10,85,15,19.86,19.79,0.07,44.59
L1,L159,ACACME,7.8,,b,47.76,1.09,4.47,3.38,5.33,4.73,5.03,3,1,1658,40,10,85,15,19.86,19.79,0.07,44.59
L1,L160,ACACME,10,M,M,78.50,0.45,3.1,2.65,3.63,3.27,3.45,3,2,1657,10,5,98,2,9.34,9.32,0.03,16.46
L1,L160,ACACME,7.7,,b,46.54,0.45,3.1,2.65,3.63,3.27,3.45,3,2,1657,10,5,98,2,9.34,9.32,0.03,16.46
L1,L160,ACACME,4.3,,b,14.51,0.45,3.1,2.65,3.63,3.27,3.45,3,2,1657,10,5,98,2,9.34,9.32,0.03,16.46
L1,L160,ACACME,4.1,,b,13.20,0.45,3.1,2.65,3.63,3.27,3.45,3,2,1657,10,5,98,2,9.34,9.32,0.03,16.46
L1,L160,ACACME,3,,b,7.07,0.45,3.1,2.65,3.63,3.27,3.45,3,2,1657,10,5,98,2,9.34,9.32,0.03,16.46
L1,L160,ACACME,3.7,M,M,10.75,0.4,1.52,1.12,2.61,2.84,2.73,3,2,1657,10,5,98,2,5.83,5.82,0.01,4.34
L1,L160,ACACME,2,,b,3.14,0.4,1.52,1.12,2.61,2.84,2.73,3,2,1657,10,5,98,2,5.83,5.82,0.01,4.34
L1,L160,ACACME,1.9,,b,2.83,0.4,1.52,1.12,2.61,2.84,2.73,3,2,1657,10,5,98,2,5.83,5.82,0.01,4.34
L1,L160,ACACME,2.7,,b,5.72,0.4,1.52,1.12,2.61,2.84,2.73,3,2,1657,10,5,98,2,5.83,5.82,0.01,4.34
L1,L160,ACACME,2.3,,b,4.15,0.4,1.52,1.12,2.61,2.84,2.73,3,2,1657,10,5,98,2,5.83,5.82,0.01,4.34
L1,L160,ACACME,2.1,,b,3.46,0.4,1.52,1.12,2.61,2.84,2.73,3,2,1657,10,5,98,2,5.83,5.82,0.01,4.34
L1,L160,ACACME,3.3,M,M,8.55,0.39,1.63,1.24,2.93,2.48,2.71,3,2,1657,10,5,98,2,5.74,5.7,0.04,4.72
L1,L160,ACACME,2,,b,3.14,0.39,1.63,1.24,2.93,2.48,2.71,3,2,1657,10,5,98,2,5.74,5.7,0.04,4.72
L1,L160,ACACME,2.4,,b,4.52,0.39,1.63,1.24,2.93,2.48,2.71,3,2,1657,10,5,98,2,5.74,5.7,0.04,4.72
L1,L160,ACACME,1.9,,b,2.83,0.39,1.63,1.24,2.93,2.48,2.71,3,2,1657,10,5,98,2,5.74,5.7,0.04,4.72
L1,L160,ACACME,1.7,,b,2.27,0.39,1.63,1.24,2.93,2.48,2.71,3,2,1657,10,5,98,2,5.74,5.7,0.04,4.72
L1,L160,ACACME,11.8,M,M,109.30,0.51,2.3,1.79,3.09,2.84,2.97,3,2,1657,10,5,98,2,6.9,6.89,0.01,8.22
L1,L160,ACACME,5.9,,b,27.33,0.51,2.3,1.79,3.09,2.84,2.97,3,2,1657,10,5,98,2,6.9,6.89,0.01,8.22
L1,L160,ACACME,10.2,,b,81.67,0.51,2.3,1.79,3.09,2.84,2.97,3,2,1657,10,5,98,2,6.9,6.89,0.01,8.22
L1,L160,ACACME,12.5,M,M,122.66,0.8,4.21,3.41,3.63,3.35,3.49,3,2,1657,10,5,98,2,9.56,9.55,0.02,21.7
L1,L161,ACACME,13.7,M,M,147.34,0.6,2.15,1.55,3.13,1.83,2.48,2,5,1660,10,2,90,10,4.83,4.5,0.33,4.65
L1,L161,ACACME,10.6,,b,88.20,0.6,2.15,1.55,3.13,1.83,2.48,2,5,1660,10,2,90,10,4.83,4.5,0.33,4.65
L1,L161,ACACME,9.1,,b,65.01,0.6,2.15,1.55,3.13,1.83,2.48,2,5,1660,10,2,90,10,4.83,4.5,0.33,4.65
L1,L161,ACACME,6.7,M,M,35.24,0.14,3.38,3.24,4.33,2.57,3.45,2,5,1660,10,2,90,10,9.34,8.74,0.61,18.87
L1,L161,ACACME,4.3,,b,14.51,0.14,3.38,3.24,4.33,2.57,3.45,2,5,1660,10,2,90,10,9.34,8.74,0.61,18.87
L1,L161,ACACME,5.4,,b,22.89,0.14,3.38,3.24,4.33,2.57,3.45,2,5,1660,10,2,90,10,9.34,8.74,0.61,18.87
L1,L161,ACACME,4.5,,b,15.90,0.14,3.38,3.24,4.33,2.57,3.45,2,5,1660,10,2,90,10,9.34,8.74,0.61,18.87
L1,L161,ACACME,5.4,,b,22.89,0.14,3.38,3.24,4.33,2.57,3.45,2,5,1660,10,2,90,10,9.34,8.74,0.61,18.87
L1,L161,ACACME,7.7,M,M,46.54,0.2,1.6,1.4,1.67,1.56,1.62,2,5,1660,10,2,90,10,2.05,2.05,0,1.91
L1,L161,ACACME,6.8,,b,36.30,0.2,1.6,1.4,1.67,1.56,1.62,2,5,1660,10,2,90,10,2.05,2.05,0,1.91
L1,L161,ACACME,6.3,,b,31.16,0.2,1.6,1.4,1.67,1.56,1.62,2,5,1660,10,2,90,10,2.05,2.05,0,1.91
L1,L161,ACACME,9.1,M,M,65.01,0.4,3.63,3.23,4.66,4.32,4.49,2,5,1660,10,2,90,10,15.83,15.8,0.02,34.03
L1,L161,ACACME,5.5,,b,23.75,0.4,3.63,3.23,4.66,4.32,4.49,2,5,1660,10,2,90,10,15.83,15.8,0.02,34.03
L1,L161,ACACME,7.1,,b,39.57,0.4,3.63,3.23,4.66,4.32,4.49,2,5,1660,10,2,90,10,15.83,15.8,0.02,34.03
L1,L161,ACACME,4.7,,b,17.34,0.4,3.63,3.23,4.66,4.32,4.49,2,5,1660,10,2,90,10,15.83,15.8,0.02,34.03
L1,L161,ACACME,4.8,,b,18.09,0.4,3.63,3.23,4.66,4.32,4.49,2,5,1660,10,2,90,10,15.83,15.8,0.02,34.03
L1,L161,ACACME,6,,b,28.26,0.4,3.63,3.23,4.66,4.32,4.49,2,5,1660,10,2,90,10,15.83,15.8,0.02,34.03
L1,L161,ACACET,2.1,M,M,3.46,0.52,1.13,0.61,1.73,2.4,2.07,2,5,1660,10,2,90,10,3.35,3.26,0.09,1.33
L1,L161,ACACET,2,,b,3.14,0.52,1.13,0.61,1.73,2.4,2.07,2,5,1660,10,2,90,10,3.35,3.26,0.09,1.33
L1,L161,ACACET,3,M,M,7.07,0.53,1.64,1.11,1.88,1.73,1.81,2,5,1660,10,2,90,10,2.56,2.55,0,1.89
L1,L162,ACACME,2.3,M,M,4.15,0.1,0.81,0.71,1.76,0.91,1.34,2,3,1657,10,40,95,5,1.4,1.26,0.14,0.6
L1,L162,ACACME,1.9,,b,2.83,0.1,0.81,0.71,1.76,0.91,1.34,2,3,1657,10,40,95,5,1.4,1.26,0.14,0.6
L1,L162,ACACME,1.5,,b,1.77,0.1,0.81,0.71,1.76,0.91,1.34,2,3,1657,10,40,95,5,1.4,1.26,0.14,0.6
L1,L162,ACACET,5.2,M,M,21.23,0.6,2.28,1.68,2.02,2.11,2.07,2,3,1657,10,40,95,5,3.35,3.35,0,3.75
L1,L162,ACACET,1.8,,b,2.54,0.6,2.28,1.68,2.02,2.11,2.07,2,3,1657,10,40,95,5,3.35,3.35,0,3.75
L1,L162,ACACTO,2.4,M,M,4.52,0.41,0.78,0.37,1.2,0.61,0.91,2,3,1657,10,40,95,5,0.64,0.57,0.07,0.14
L1,L162,ACACTO,1.7,,b,2.27,0.41,0.78,0.37,1.2,0.61,0.91,2,3,1657,10,40,95,5,0.64,0.57,0.07,0.14
L1,L162,ACACME,4.9,M,M,18.85,0.92,2.1,1.18,2.26,2.09,2.18,2,3,1657,10,40,95,5,3.71,3.71,0.01,2.92
L1,L162,ACACME,3.5,,b,9.62,0.92,2.1,1.18,2.26,2.09,2.18,2,3,1657,10,40,95,5,3.71,3.71,0.01,2.92
L1,L162,ACACME,3.8,,b,11.34,0.92,2.1,1.18,2.26,2.09,2.18,2,3,1657,10,40,95,5,3.71,3.71,0.01,2.92
L1,L162,ACACET,8.2,M,M,52.78,2.22,3.12,0.9,3.3,2.65,2.98,2,3,1657,10,40,95,5,6.95,6.86,0.08,4.12
L1,L162,ACACET,13.5,M,M,143.07,1.17,3.63,2.46,2.56,2.71,2.64,2,3,1657,10,40,95,5,5.45,5.45,0,8.93
L1,L162,ACACME,13.2,M,M,136.78,0.76,2.9,2.14,1.74,0.62,1.18,2,3,1657,10,40,95,5,1.09,0.85,0.25,1.21
L1,L162,ACACME,8.9,,b,62.18,0.76,2.9,2.14,1.74,0.62,1.18,2,3,1657,10,40,95,5,1.09,0.85,0.25,1.21
L1,L162,ACACME,5.6,,b,24.62,0.76,2.9,2.14,1.74,0.62,1.18,2,3,1657,10,40,95,5,1.09,0.85,0.25,1.21
L1,L162,ACACME,11.6,M,M,105.63,0.54,2.14,1.6,2.29,3.63,2.96,2,3,1657,10,40,95,5,6.88,6.53,0.35,6.96
L1,L163,ACACTO,4.3,M,M,14.51,0.6,1.62,1.02,1.73,1.52,1.63,2,3,1657,1,1,98,2,2.07,2.06,0.01,1.4
L1,L163,ACACTO,2.1,,b,3.46,0.6,1.62,1.02,1.73,1.52,1.63,2,3,1657,1,1,98,2,2.07,2.06,0.01,1.4
L1,L163,ACACET,2.3,M,M,4.15,0.59,1.22,0.63,0.7,0.48,0.59,2,3,1657,1,1,98,2,0.27,0.26,0.01,0.11
L1,L163,ACACTO,5.8,M,M,26.41,0.71,1.91,1.2,2.01,2.48,2.25,2,3,1657,1,1,98,2,3.96,3.91,0.04,3.13
L1,L163,ACACTO,2.8,,b,6.15,0.71,1.91,1.2,2.01,2.48,2.25,2,3,1657,1,1,98,2,3.96,3.91,0.04,3.13
L1,L163,ACACME,9.3,M,M,67.89,1,2.9,1.9,4.67,4.28,4.48,2,3,1657,1,1,98,2,15.72,15.69,0.03,19.87
L1,L163,ACACET,2.5,M,M,4.91,0.63,1.22,0.59,1.1,1.52,1.31,2,3,1657,1,1,98,2,1.35,1.31,0.03,0.52
L1,L163,ACACET,1.5,,b,1.77,0.63,1.22,0.59,1.1,1.52,1.31,2,3,1657,1,1,98,2,1.35,1.31,0.03,0.52
L1,L163,ACACET,3.6,M,M,10.17,0.2,1.51,1.31,1.12,1.5,1.31,2,3,1657,1,1,98,2,1.35,1.32,0.03,1.15
L1,L163,ACACET,2.4,,b,4.52,0.2,1.51,1.31,1.12,1.5,1.31,2,3,1657,1,1,98,2,1.35,1.32,0.03,1.15
L1,L164,ACACME,7.7,M,M,46.54,0.4,2.62,2.22,3.62,6.59,5.11,2,3,1651,30,10,90,10,20.46,18.73,1.73,27.72
L1,L164,ACACME,5.3,,b,22.05,0.4,2.62,2.22,3.62,6.59,5.11,2,3,1651,30,10,90,10,20.46,18.73,1.73,27.72
L1,L164,ACACME,5.5,M,M,23.75,0.39,1.5,1.11,1.77,1.8,1.79,2,3,1651,30,10,90,10,2.5,2.5,0,1.85
L1,L164,ACACME,7,M,M,38.47,0.4,3.32,2.92,2.7,3.31,3.01,2,3,1651,30,10,90,10,7.09,7.02,0.07,13.66
L1,L164,ACACME,4.9,,b,18.85,0.4,3.32,2.92,2.7,3.31,3.01,2,3,1651,30,10,90,10,7.09,7.02,0.07,13.66
L1,L164,ACACME,7.4,M,M,42.99,0.35,2.71,2.36,2.17,2.13,2.15,2,3,1651,30,10,90,10,3.63,3.63,0,5.71
L1,L164,ACACME,3.6,M,M,10.17,0.31,1.63,1.32,2.2,1.72,1.96,2,3,1651,30,10,90,10,3.02,2.97,0.05,2.61
L1,L164,ACACME,1.5,,b,1.77,0.31,1.63,1.32,2.2,1.72,1.96,2,3,1651,30,10,90,10,3.02,2.97,0.05,2.61
L1,L164,ACACME,1.4,,b,1.54,0.31,1.63,1.32,2.2,1.72,1.96,2,3,1651,30,10,90,10,3.02,2.97,0.05,2.61
L1,L164,ACACME,1.8,,b,2.54,0.31,1.63,1.32,2.2,1.72,1.96,2,3,1651,30,10,90,10,3.02,2.97,0.05,2.61
L1,L164,ACACME,7.6,M,M,45.34,0.1,2.48,2.38,3,2.18,2.59,2,3,1651,30,10,90,10,5.27,5.13,0.13,8.15
L1,L164,ACACME,4.3,,b,14.51,0.1,2.48,2.38,3,2.18,2.59,2,3,1651,30,10,90,10,5.27,5.13,0.13,8.15
L1,L164,ACACME,7.4,,b,42.99,0.1,2.48,2.38,3,2.18,2.59,2,3,1651,30,10,90,10,5.27,5.13,0.13,8.15
L1,L164,ACACME,5.3,,b,22.05,0.1,2.48,2.38,3,2.18,2.59,2,3,1651,30,10,90,10,5.27,5.13,0.13,8.15
L1,L164,ACACME,8.8,M,M,60.79,0.82,3.85,3.03,4.5,3.8,4.15,2,3,1651,30,10,90,10,13.52,13.42,0.1,27.12
L1,L164,ACACME,6,,b,28.26,0.82,3.85,3.03,4.5,3.8,4.15,2,3,1651,30,10,90,10,13.52,13.42,0.1,27.12
L1,L164,ACACME,4.8,M,M,18.09,0.22,3.7,3.48,1.8,1.64,1.72,2,3,1651,30,10,90,10,2.32,2.32,0.01,5.38
L1,L164,ACACME,8.6,M,M,58.06,0.59,3.94,3.35,2.49,2.93,2.71,2,3,1651,30,10,90,10,5.77,5.73,0.04,12.79
L1,L164,ACACME,6.8,,b,36.30,0.59,3.94,3.35,2.49,2.93,2.71,2,3,1651,30,10,90,10,5.77,5.73,0.04,12.79
L1,L164,ACACME,5.7,M,M,25.50,0.5,2.5,2,2.61,2.81,2.71,2,3,1651,30,10,90,10,5.77,5.76,0.01,7.68
L1,L164,ACACME,3.6,,b,10.17,0.5,2.5,2,2.61,2.81,2.71,2,3,1651,30,10,90,10,5.77,5.76,0.01,7.68
L1,L164,ACACME,4.2,M,M,13.85,0.5,2.29,1.79,1.49,1.95,1.72,2,3,1651,30,10,90,10,2.32,2.28,0.04,2.72
L1,L164,ACACME,12.1,M,M,114.93,1.1,2.5,1.4,2.28,2.72,2.5,2,3,1651,30,10,90,10,4.91,4.87,0.04,4.54
L1,L164,ACACME,6.1,,b,29.21,1.1,2.5,1.4,2.28,2.72,2.5,2,3,1651,30,10,90,10,4.91,4.87,0.04,4.54
L1,L164,ACACME,10.3,M,M,83.28,1,3.82,2.82,5.3,4.63,4.97,2,3,1651,30,10,90,10,19.35,19.26,0.09,36.21
L1,L164,ACACME,4.3,,b,14.51,1,3.82,2.82,5.3,4.63,4.97,2,3,1651,30,10,90,10,19.35,19.26,0.09,36.21
L1,L164,ACACME,8.2,,b,52.78,1,3.82,2.82,5.3,4.63,4.97,2,3,1651,30,10,90,10,19.35,19.26,0.09,36.21
L1,L164,ACACME,7.6,,b,45.34,1,3.82,2.82,5.3,4.63,4.97,2,3,1651,30,10,90,10,19.35,19.26,0.09,36.21
L1,L165,ACACME,8.8,M,M,60.79,0.6,2.77,2.17,3.21,2.58,2.9,2,3,1651,10,5,80,20,6.58,6.5,0.08,9.41
L1,L165,ACACME,8.2,,b,52.78,0.6,2.77,2.17,3.21,2.58,2.9,2,3,1651,10,5,80,20,6.58,6.5,0.08,9.41
L1,L165,ACACME,5.7,,b,25.50,0.6,2.77,2.17,3.21,2.58,2.9,2,3,1651,10,5,80,20,6.58,6.5,0.08,9.41
L1,L165,ACACET,3.6,M,M,10.17,0.48,1.22,0.74,2.03,2.41,2.22,2,3,1651,10,5,80,20,3.87,3.84,0.03,1.89
L1,L165,ACACET,1.9,,b,2.83,0.48,1.22,0.74,2.03,2.41,2.22,2,3,1651,10,5,80,20,3.87,3.84,0.03,1.89
L1,L165,ACACET,6.5,M,M,33.17,0.98,1.8,0.82,2.25,1.61,1.93,2,3,1651,10,5,80,20,2.92,2.84,0.08,1.55
L1,L165,ACACET,3.2,M,M,8.04,0.5,1.12,0.62,0.8,0.51,0.66,2,3,1651,10,5,80,20,0.34,0.32,0.02,0.13
L1,L165,ACACET,3,,b,7.07,0.5,1.12,0.62,0.8,0.51,0.66,2,3,1651,10,5,80,20,0.34,0.32,0.02,0.13
L1,L165,ACACET,2.7,M,M,5.72,0.22,1.15,0.93,1.84,1.63,1.74,2,3,1651,10,5,80,20,2.36,2.35,0.01,1.46
L1,L165,ACACET,2.5,,b,4.91,0.22,1.15,0.93,1.84,1.63,1.74,2,3,1651,10,5,80,20,2.36,2.35,0.01,1.46
L1,L165,ACACME,12.4,M,M,120.70,0.7,3.51,2.81,4.95,5.62,5.29,2,3,1651,10,5,80,20,21.93,21.84,0.09,40.91
L1,L165,ACACME,7.7,,b,46.54,0.7,3.51,2.81,4.95,5.62,5.29,2,3,1651,10,5,80,20,21.93,21.84,0.09,40.91
L1,L165,ACACME,11.5,,b,103.82,0.7,3.51,2.81,4.95,5.62,5.29,2,3,1651,10,5,80,20,21.93,21.84,0.09,40.91
L1,L165,ACACME,6.1,,b,29.21,0.7,3.51,2.81,4.95,5.62,5.29,2,3,1651,10,5,80,20,21.93,21.84,0.09,40.91
L1,L165,ACACET,12.4,M,M,120.70,0.3,3.38,3.08,2.46,2.9,2.68,2,3,1651,10,5,80,20,5.64,5.6,0.04,11.5
L1,L165,ACACET,9.9,M,M,76.94,0.69,4.38,3.69,5.38,4.68,5.03,2,3,1651,10,5,80,20,19.86,19.77,0.1,48.62
L1,L165,ACACET,9.8,,b,75.39,0.69,4.38,3.69,5.38,4.68,5.03,2,3,1651,10,5,80,20,19.86,19.77,0.1,48.62
L1,L166,ACACME,4.4,M,M,15.20,0.17,1.85,1.68,2.34,2.9,2.62,2,3,1652,10,5,96,4,5.39,5.33,0.06,5.97
L1,L166,ACACME,5.2,M,M,21.23,0.6,1.71,1.11,2.58,2.9,2.74,2,3,1652,10,5,96,4,5.89,5.87,0.02,4.35
L1,L166,ACACME,3.7,,b,10.75,0.6,1.71,1.11,2.58,2.9,2.74,2,3,1652,10,5,96,4,5.89,5.87,0.02,4.35
L1,L166,ACACME,2.6,,b,5.31,0.6,1.71,1.11,2.58,2.9,2.74,2,3,1652,10,5,96,4,5.89,5.87,0.02,4.35
L1,L166,ACACTO,2.5,M,M,4.91,0.19,1.89,1.7,1.89,1.99,1.94,2,3,1652,10,5,96,4,2.95,2.95,0,3.35
L1,L166,ACACME,8.4,M,M,55.39,1.16,3.63,2.47,6.1,3.62,4.86,2,3,1652,10,5,96,4,18.54,17.33,1.21,28.54
