Acacia etbaica biomas (y=53.506x -103.47 ; r2 = 0.68),,,,,,,,,,,,,,
S/Transect,Quadra,SpCode,DKH,code,branches,Basal area (sq cm),Hmin,Hmax,CanDepth,CrwnDiam,slope,CanArea     = ?D1D2/4 ,CanVol ,Biomass
L2,L233,ACACET,2,,b,3.14,0.3,1.85,1.55,2.05,2,3.29,3.4,3.542
L2,L233,ACACET,7.7,M,M,46.54265,1.1,5.69,4.59,7.15,2,39.63,121.26,308.5262
L2,L233,ACACET,6.2,,b,30.1754,1.1,5.69,4.59,7.15,2,39.63,121.26,228.2672
L2,L233,ACACET,5.1,,b,20.41785,1.1,5.69,4.59,7.15,2,39.63,121.26,169.4106
L2,L233,ACACET,14,M,M,153.86,0.8,3.63,2.83,4.98,2,19.37,36.54,645.614
L2,L233,ACACET,9.2,,b,66.4424,0.8,3.63,2.83,4.98,2,19.37,36.54,388.7852
L2,L233,ACACET,11.3,,b,100.23665,0.8,3.63,2.83,4.98,2,19.37,36.54,501.1478
L2,L233,ACACET,3.2,,b,8.0384,0.8,3.63,2.83,4.98,2,19.37,36.54,67.7492
L2,L233,ACACET,10.2,M,M,81.6714,1,3.06,2.06,3.76,2,10.98,15.08,442.2912
L2,L233,ACACET,3.7,,b,10.74665,1,3.06,2.06,3.76,2,10.98,15.08,94.5022
L2,L233,ACACET,5.2,,b,21.2264,1,3.06,2.06,3.76,2,10.98,15.08,174.7612
L2,L233,ACACET,4.2,,b,13.8474,1,3.06,2.06,3.76,2,10.98,15.08,121.2552
L2,L233,ACACET,7.7,,b,46.54265,1,3.06,2.06,3.76,2,10.98,15.08,308.5262
L2,L233,ACACET,7.9,,b,48.99185,1,3.06,2.06,3.76,2,10.98,15.08,319.2274
L2,L233,ACACET,4.2,,b,13.8474,1,3.06,2.06,3.76,2,10.98,15.08,121.2552
L2,L233,ACACET,4.6,,b,16.6106,1,3.06,2.06,3.76,2,10.98,15.08,142.6576
L2,L233,ACACET,8.7,M,M,59.41665,0.8,4.06,3.26,4.51,2,15.84,34.41,362.0322
L2,L233,ACACET,5.6,,b,24.6176,0.8,4.06,3.26,4.51,2,15.84,34.41,196.1636
L2,L233,ACACET,8.4,,b,55.3896,0.8,4.06,3.26,4.51,2,15.84,34.41,345.9804
L2,L233,ACACET,7,M,M,38.465,1.2,3.38,2.18,3.82,2,11.36,16.51,271.072
L2,L233,ACACET,8.8,M,M,60.7904,0.64,2.48,1.84,2.41,2,4.54,5.57,367.3828
L2,L233,ACACET,4.3,,b,14.51465,0.64,2.48,1.84,2.41,2,4.54,5.57,126.6058
L2,L241,ACACET,6.3,M,M,31.15665,1.2,2.95,1.75,3.16,2,7.84,9.15,233.6178
L2,L241,ACACET,4.2,,b,13.8474,1.2,2.95,1.75,3.16,2,7.84,9.15,121.2552
L2,L241,ACACET,4.3,,b,14.51465,1.2,2.95,1.75,3.16,2,7.84,9.15,126.6058
L2,L241,ACACET,3.3,,b,8.54865,1.2,2.95,1.75,3.16,2,7.84,9.15,73.0998
L2,L246,ACACET,2.9,M,M,6.60185,0.7,1.64,0.94,1.73,2,2.33,1.46,51.6974
L2,L246,ACACET,2.7,,b,5.72265,0.7,1.64,0.94,1.73,2,2.33,1.46,40.9962
L2,L246,ACACET,2.5,,b,4.90625,0.7,1.64,0.94,1.73,2,2.33,1.46,30.295
L2,L247,ACACET,7.7,M,M,46.54265,1,2.14,1.14,2.22,2,3.84,2.92,308.5262
L2,L247,ACACET,2.3,M,M,4.15265,1,2.63,1.63,2.73,2,5.82,6.32,19.5938
L2,L247,ACACET,1.5,,b,1.76625,1,2.63,1.63,2.73,2,5.82,6.32,-23.211
L2,L247,ACACET,2,,b,3.14,1,2.63,1.63,2.73,2,5.82,6.32,3.542
L2,L247,ACACET,3.3,M,M,8.54865,0.3,1.22,0.92,1.44,2,1.62,0.99,73.0998
L2,L247,ACACET,2.4,,b,4.5216,0.3,1.22,0.92,1.44,2,1.62,0.99,24.9444
L2,L247,ACACET,5.7,M,M,25.50465,0.4,2.85,2.45,1.67,2,2.15,3.52,201.5142
L2,L247,ACACET,2.7,,b,5.72265,0.4,2.85,2.45,1.67,2,2.15,3.52,40.9962
L2,L247,ACACET,1.5,,b,1.76625,0.4,2.85,2.45,1.67,2,2.15,3.52,-23.211
L2,L247,ACACET,3,M,M,7.065,0.5,1.82,1.32,1.6,2,1.99,1.75,57.048
L2,L247,ACACET,2.3,,b,4.15265,0.5,1.82,1.32,1.6,2,1.99,1.75,19.5938
L2,L247,ACACET,2.5,,b,4.90625,0.5,1.82,1.32,1.6,2,1.99,1.75,30.295
L2,L247,ACACET,1.7,,b,2.26865,0.5,1.82,1.32,1.6,2,1.99,1.75,-12.5098
L2,L247,ACACET,2.8,M,M,6.1544,0.6,1.92,1.32,2.23,2,3.83,3.37,46.3468
L2,L247,ACACET,2,,b,3.14,0.6,1.92,1.32,2.23,2,3.83,3.37,3.542
L2,L247,ACACET,1.7,,b,2.26865,0.6,1.92,1.32,2.23,2,3.83,3.37,-12.5098
L2,L247,ACACET,6.6,M,M,34.1946,0.56,1.53,0.97,1.48,2,1.7,1.1,249.6696
L2,L247,ACACET,10.6,M,M,88.2026,0.8,2.03,1.23,1.94,2,2.94,2.41,463.6936
L2,L248,ACACET,3.3,M,M,8.54865,0.6,1.8,1.2,1.37,2,1.47,1.18,73.0998
L2,L248,ACACET,17.3,M,M,234.94265,0.76,2.72,1.96,2.63,2,5.42,7.09,822.1838
L2,L248,ACACET,4,,b,12.56,0.76,2.72,1.96,2.63,2,5.42,7.09,110.554
L2,L248,ACACET,3.4,M,M,9.0746,0.3,0.87,0.57,2.51,2,4.84,1.84,78.4504
L2,L248,ACACET,2.5,,b,4.90625,0.3,0.87,0.57,2.51,2,4.84,1.84,30.295
L2,L248,ACACET,1.5,,b,1.76625,0.3,0.87,0.57,2.51,2,4.84,1.84,-23.211
L2,L248,ACACET,2.4,,b,4.5216,0.3,0.87,0.57,2.51,2,4.84,1.84,24.9444
L2,L248,ACACET,2.3,,b,4.15265,0.3,0.87,0.57,2.51,2,4.84,1.84,19.5938
L2,L248,ACACET,1.7,,b,2.26865,0.3,0.87,0.57,2.51,2,4.84,1.84,-12.5098
L2,L248,ACACET,2,,b,3.14,0.3,0.87,0.57,2.51,2,4.84,1.84,3.542
L2,L248,ACACET,9.4,M,M,69.3626,0.5,2.44,1.94,2.59,2,5.17,6.69,399.4864
L2,L248,ACACET,3.6,M,M,10.1736,0.34,1.2,0.86,2.16,2,3.66,2.1,89.1516
L2,L248,ACACET,1.8,,b,2.5434,0.34,1.2,0.86,2.16,2,3.66,2.1,-7.1592
L2,L248,ACACET,3.4,M,M,9.0746,0.2,1.22,1.02,1.66,2,2.13,1.45,78.4504
L2,L248,ACACET,2.5,,b,4.90625,0.2,1.22,1.02,1.66,2,2.13,1.45,30.295
L2,L248,ACACET,1.7,,b,2.26865,0.2,1.22,1.02,1.66,2,2.13,1.45,-12.5098
L2,L248,ACACET,8.3,M,M,54.07865,0.8,2.85,2.05,2.52,2,4.98,6.81,340.6298
L2,L248,ACACET,3.7,M,M,10.74665,0.45,2.33,1.88,1.93,2,2.88,3.62,94.5022
L2,L248,ACACET,2.5,,b,4.90625,0.45,2.33,1.88,1.93,2,2.88,3.62,30.295
L2,L248,ACACET,1.6,,b,2.0096,0.45,2.33,1.88,1.93,2,2.88,3.62,-17.8604
L2,L248,ACACET,5.1,M,M,20.41785,0.5,1.94,1.44,2.88,2,6.47,6.21,169.4106
L2,L248,ACACET,3,,b,7.065,0.5,1.94,1.44,2.88,2,6.47,6.21,57.048
L2,L248,ACACET,2.5,,b,4.90625,0.5,1.94,1.44,2.88,2,6.47,6.21,30.295
L2,L248,ACACET,17.5,M,M,240.40625,1,3.49,2.49,5.05,2,20.01,33.21,832.885
L2,L248,ACACET,13.3,,b,138.85865,1,3.49,2.49,5.05,2,20.01,33.21,608.1598
L2,L248,ACACET,9.7,,b,73.86065,1,3.49,2.49,5.05,2,20.01,33.21,415.5382
L2,L248,ACACET,8.1,M,M,51.50385,0.8,2.18,1.38,1.67,2,2.18,2,329.9286
L2,L248,ACACET,1.9,,b,2.83385,0.8,2.18,1.38,1.67,2,2.18,2,-1.8086
L2,L249,ACACET,10.7,M,M,89.87465,1.15,3.11,1.96,2.8,2,5.96,7.79,469.0442
L2,L249,ACACET,4.9,M,M,18.84785,0.4,1.77,1.37,1.88,2,2.76,2.52,158.7094
L2,L249,ACACET,2.5,M,M,4.90625,0.2,1.22,1.02,1.93,2,2.8,1.9,30.295
L2,L249,ACACET,2.3,,b,4.15265,0.2,1.22,1.02,1.93,2,2.8,1.9,19.5938
L2,L249,ACACET,1.7,,b,2.26865,0.2,1.22,1.02,1.93,2,2.8,1.9,-12.5098
L2,L249,ACACET,11.3,M,M,100.23665,1,3.93,2.93,4.89,2,18.33,35.81,501.1478
L2,L249,ACACET,9.4,,b,69.3626,1,3.93,2.93,4.89,2,18.33,35.81,399.4864
L2,L251,ACACET,7.5,M,M,44.15625,0.8,3.42,2.62,2.94,2,6.77,11.83,297.825
L2,L251,ACACET,3.6,,b,10.1736,0.8,3.42,2.62,2.94,2,6.77,11.83,89.1516
L2,L251,ACACET,3.5,,b,9.61625,0.8,3.42,2.62,2.94,2,6.77,11.83,83.801
L2,L251,ACACET,4,,b,12.56,0.8,3.42,2.62,2.94,2,6.77,11.83,110.554
L2,L251,ACACET,2.5,M,M,4.90625,0.3,1.22,0.92,1.74,2,2.34,1.44,30.295
L2,L251,ACACET,1.7,,b,2.26865,0.3,1.22,0.92,1.74,2,2.34,1.44,-12.5098
L2,L251,ACACET,5.8,M,M,26.4074,1.17,3.02,1.85,2.62,2,5.37,6.62,206.8648
L2,L251,ACACET,3.1,M,M,7.54385,0.4,1.54,1.14,,2,NA,NA,62.3986
L2,L251,ACACET,2.5,,b,4.90625,0.4,1.54,1.14,NA,2,NA,NA,30.295
L2,L251,ACACET,1.5,,b,1.76625,0.4,1.54,1.14,NA,2,NA,NA,-23.211
L2,L251,ACACET,2.6,M,M,5.3066,0.3,1,0.7,,2,NA,NA,35.6456
L2,L251,ACACET,1.7,,b,2.26865,0.3,1,0.7,NA,2,NA,NA,-12.5098
L2,L251,ACACET,1.5,,b,1.76625,0.3,1,0.7,NA,2,NA,NA,-23.211
L2,L251,ACACET,6.4,M,M,32.1536,1,3.43,2.43,3.43,2,9.23,14.95,238.9684
L2,L251,ACACET,4.5,,b,15.89625,1,3.43,2.43,3.43,2,9.23,14.95,137.307
L2,L251,ACACET,4.1,,b,13.19585,1,3.43,2.43,3.43,2,9.23,14.95,115.9046
L2,L251,ACACET,3.9,,b,11.93985,1,3.43,2.43,3.43,2,9.23,14.95,105.2034
L2,L251,ACACET,4.7,,b,17.34065,1,3.43,2.43,3.43,2,9.23,14.95,148.0082
L2,L251,ACACET,3,,b,7.065,1,3.43,2.43,3.43,2,9.23,14.95,57.048
L2,L253,ACACET,9.4,M,M,69.3626,1.22,4.09,2.87,2.5,2,4.89,9.35,399.4864
L2,L254,ACACET,5.9,M,M,27.32585,0.5,2.61,2.11,3.27,2,8.39,11.8,212.2154
L2,L254,ACACET,5.6,,b,24.6176,0.5,2.61,2.11,3.27,2,8.39,11.8,196.1636
L2,L254,ACACET,4.4,,b,15.1976,0.5,2.61,2.11,3.27,2,8.39,11.8,131.9564
L2,L254,ACACET,4.7,,b,17.34065,0.5,2.61,2.11,3.27,2,8.39,11.8,148.0082
L2,L254,ACACET,10.6,M,M,88.2026,0.9,3.52,2.62,3.87,2,11.69,20.41,463.6936
L2,L254,ACACET,8.1,,b,51.50385,0.9,3.52,2.62,3.87,2,11.69,20.41,329.9286
L2,L254,ACACET,2.5,,b,4.90625,0.9,3.52,2.62,3.87,2,11.69,20.41,30.295
L2,L254,ACACET,7.4,M,M,42.9866,0.7,3.24,2.54,2.72,2,5.79,9.8,292.4744
L2,L254,ACACET,1.5,M,M,1.76625,0.3,1,0.7,1.64,2,1.97,0.92,-23.211
L2,L254,ACACET,1.5,,b,1.76625,0.3,1,0.7,1.64,2,1.97,0.92,-23.211
L2,L255,ACACET,7.5,M,M,44.15625,0.4,2.82,2.42,3.26,2,8.22,13.27,297.825
L2,L255,ACACET,5.1,,b,20.41785,0.4,2.82,2.42,3.26,2,8.22,13.27,169.4106
L2,L255,ACACET,5.5,,b,23.74625,0.4,2.82,2.42,3.26,2,8.22,13.27,190.813
L2,L255,ACACET,14.3,M,M,160.52465,0.79,2.58,1.79,3.16,2,7.53,8.98,661.6658
L2,L255,ACACET,7.6,M,M,45.3416,0.9,3.01,2.11,3.18,2,7.93,11.16,303.1756
L2,L255,ACACET,3.7,,b,10.74665,0.9,3.01,2.11,3.18,2,7.93,11.16,94.5022
L2,L255,ACACET,2.6,,b,5.3066,0.9,3.01,2.11,3.18,2,7.93,11.16,35.6456
L2,L255,ACACET,3.5,,b,9.61625,0.9,3.01,2.11,3.18,2,7.93,11.16,83.801
L2,L255,ACACET,7.8,M,M,47.7594,0.7,3.01,2.31,3,2,7.04,10.84,313.8768
L2,L255,ACACET,5.7,,b,25.50465,0.7,3.01,2.31,3,2,7.04,10.84,201.5142
L2,L256,ACACET,14.1,M,M,156.06585,0.4,3.66,3.26,4.09,2,12.64,27.47,650.9646
L2,L256,ACACET,7.7,,b,46.54265,0.4,3.66,3.26,4.09,2,12.64,27.47,308.5262
L2,L256,ACACET,8.1,,b,51.50385,0.4,3.66,3.26,4.09,2,12.64,27.47,329.9286
L2,L256,ACACET,11.1,,b,96.71985,0.4,3.66,3.26,4.09,2,12.64,27.47,490.4466
L2,L256,ACACET,12.1,M,M,114.93185,1.22,4.47,3.25,4.45,2,15.45,33.47,543.9526
L2,L256,ACACET,6.3,,b,31.15665,1.22,4.47,3.25,4.45,2,15.45,33.47,233.6178
L2,L256,ACACET,11.6,M,M,105.6296,0.9,3.78,2.88,2.77,2,6,11.52,517.1996
L2,L257,ACACET,10.1,M,M,80.07785,0.7,3.43,2.73,3,2,6.89,12.54,436.9406
L2,L257,ACACET,4.7,,b,17.34065,0.7,3.43,2.73,3,2,6.89,12.54,148.0082
L2,L257,ACACET,3.7,M,M,10.74665,0.4,1.5,1.1,2.13,2,3.56,2.61,94.5022
L2,L257,ACACET,3.5,,b,9.61625,0.4,1.5,1.1,2.13,2,3.56,2.61,83.801
L2,L257,ACACET,2.7,,b,5.72265,0.4,1.5,1.1,2.13,2,3.56,2.61,40.9962
L2,L257,ACACET,3.1,,b,7.54385,0.4,1.5,1.1,2.13,2,3.56,2.61,62.3986
L2,L258,ACACET,1.8,M,M,2.5434,0.6,1.22,0.62,1.2,2,1.1,0.45,-7.1592
L2,L258,ACACET,1.9,,b,2.83385,0.6,1.22,0.62,1.2,2,1.1,0.45,-1.8086
L2,L258,ACACET,1.5,,b,1.76625,0.6,1.22,0.62,1.2,2,1.1,0.45,-23.211
L2,L258,ACACET,1.2,,b,1.1304,0.6,1.22,0.62,1.2,2,1.1,0.45,-39.2628
L2,L259,ACACET,3.3,M,M,8.54865,0.3,1.53,1.23,1.93,2,2.91,2.38,73.0998
L2,L259,ACACET,1.5,,b,1.76625,0.3,1.53,1.23,1.93,2,2.91,2.38,-23.211
L2,L259,ACACET,3,,b,7.065,0.3,1.53,1.23,1.93,2,2.91,2.38,57.048
L2,L259,ACACET,2.6,,b,5.3066,0.3,1.53,1.23,1.93,2,2.91,2.38,35.6456
L2,L259,ACACET,1.7,,b,2.26865,0.3,1.53,1.23,1.93,2,2.91,2.38,-12.5098
L2,L259,ACACET,3.1,M,M,7.54385,0.73,1.74,1.01,2.05,2,3.2,2.16,62.3986
L2,L259,ACACET,2.7,,b,5.72265,0.73,1.74,1.01,2.05,2,3.2,2.16,40.9962
L2,L259,ACACET,2.7,,b,5.72265,0.73,1.74,1.01,2.05,2,3.2,2.16,40.9962
L2,L259,ACACET,4.4,M,M,15.1976,0.6,1.58,0.98,1.68,2,2.2,1.44,131.9564
L2,L259,ACACET,1.7,,b,2.26865,0.6,1.58,0.98,1.68,2,2.2,1.44,-12.5098
L2,L260,ACACET,4.9,M,M,18.84785,0.4,2.28,1.88,2.28,2,3.95,4.95,158.7094
L2,L260,ACACET,1.7,,b,2.26865,0.4,2.28,1.88,2.28,2,3.95,4.95,-12.5098
L2,L260,ACACET,1.3,,b,1.32665,0.4,2.28,1.88,2.28,2,3.95,4.95,-33.9122
L2,L261,ACACET,11.3,M,M,100.23665,1.2,3.73,2.53,4.88,2,18.48,31.17,501.1478
L2,L261,ACACET,8.4,,b,55.3896,1.2,3.73,2.53,4.88,2,18.48,31.17,345.9804
L2,L261,ACACET,11.4,M,M,102.0186,0.8,4.14,3.34,4.75,2,17.71,39.43,506.4984
L2,L261,ACACET,9.1,,b,65.00585,0.8,4.14,3.34,4.75,2,17.71,39.43,383.4346
L2,L261,ACACET,6.5,,b,33.16625,0.8,4.14,3.34,4.75,2,17.71,39.43,244.319
L2,L261,ACACET,4.5,,b,15.89625,0.8,4.14,3.34,4.75,2,17.71,39.43,137.307
L2,L261,ACACET,5.7,M,M,25.50465,0.9,2.33,1.43,2.56,2,5.07,4.84,201.5142
L2,L261,ACACET,2.7,,b,5.72265,0.9,2.33,1.43,2.56,2,5.07,4.84,40.9962
L2,L262,ACACET,3.7,M,M,10.74665,0.3,1.67,1.37,2.09,2,3.4,3.1,94.5022
L2,L262,ACACET,2.7,,b,5.72265,0.3,1.67,1.37,2.09,2,3.4,3.1,40.9962
L2,L262,ACACET,2.5,,b,4.90625,0.3,1.67,1.37,2.09,2,3.4,3.1,30.295
L2,L262,ACACET,1.7,,b,2.26865,0.3,1.67,1.37,2.09,2,3.4,3.1,-12.5098
L2,L262,ACACET,1.7,M,M,2.26865,0.24,0.7,0.46,1.4,2,1.51,0.46,-12.5098
L2,L262,ACACET,1.5,,b,1.76625,0.24,0.7,0.46,1.4,2,1.51,0.46,-23.211
L2,L262,ACACET,1.8,M,M,2.5434,0.4,1.1,0.7,1.38,2,1.48,0.69,-7.1592
L2,L262,ACACET,1.5,,b,1.76625,0.4,1.1,0.7,1.38,2,1.48,0.69,-23.211
L2,L262,ACACET,2.5,M,M,4.90625,0.3,1.22,0.92,1.87,2,2.56,1.57,30.295
L2,L262,ACACET,1.5,,b,1.76625,0.3,1.22,0.92,1.87,2,2.56,1.57,-23.211
L2,L262,ACACET,4.5,M,M,15.89625,0.7,2.14,1.44,2.33,2,4.24,4.07,137.307
L2,L262,ACACET,3.5,,b,9.61625,0.7,2.14,1.44,2.33,2,4.24,4.07,83.801
L2,L262,ACACET,3.5,M,M,9.61625,1.6,1.66,0.06,2.26,2,4,0.16,83.801
L2,L262,ACACET,2.5,,b,4.90625,1.6,1.66,0.06,2.26,2,4,0.16,30.295
L2,L262,ACACET,1.7,,b,2.26865,1.6,1.66,0.06,2.26,2,4,0.16,-12.5098
L2,L262,ACACET,2.7,M,M,5.72265,0.3,1.93,1.63,1.61,2,2.02,2.2,40.9962
L2,L262,ACACET,1.7,,b,2.26865,0.3,1.93,1.63,1.61,2,2.02,2.2,-12.5098
L2,L262,ACACET,1.5,,b,1.76625,0.3,1.93,1.63,1.61,2,2.02,2.2,-23.211
L2,L262,ACACET,7.4,M,M,42.9866,0.9,2.71,1.81,2.47,2,4.77,5.75,292.4744
L2,L262,ACACET,6.3,,b,31.15665,0.9,2.71,1.81,2.47,2,4.77,5.75,233.6178
L2,L263,ACACET,2.4,M,M,4.5216,0.2,1.53,1.33,1.95,2,2.98,2.64,24.9444
L2,L263,ACACET,1.7,,b,2.26865,0.2,1.53,1.33,1.95,2,2.98,2.64,-12.5098
L2,L265,ACACET,5.1,M,M,20.41785,0.4,1,0.6,2.1,2,3.34,1.33,169.4106
L2,L265,ACACET,3.5,,b,9.61625,0.4,1,0.6,2.1,2,3.34,1.33,83.801
L2,L265,ACACET,3.6,,b,10.1736,0.4,1,0.6,2.1,2,3.34,1.33,89.1516
L2,L265,ACACET,9.1,M,M,65.00585,1.1,2.77,1.67,2.75,2,5.93,6.61,383.4346
L2,L265,ACACET,6.7,M,M,35.23865,0.5,2.83,2.33,2.95,2,6.59,10.24,255.0202
L2,L265,ACACET,3.5,,b,9.61625,0.5,2.83,2.33,2.95,2,6.59,10.24,83.801
L2,L265,ACACET,2.7,,b,5.72265,0.5,2.83,2.33,2.95,2,6.59,10.24,40.9962
L2,L265,ACACET,1.5,,b,1.76625,0.5,2.83,2.33,2.95,2,6.59,10.24,-23.211
L2,L265,ACACET,2.5,,b,4.90625,0.5,2.83,2.33,2.95,2,6.59,10.24,30.295
L2,L265,ACACET,3.1,,b,7.54385,0.5,2.83,2.33,2.95,2,6.59,10.24,62.3986
L2,L265,ACACET,3.4,M,M,9.0746,0.5,1.56,1.06,2.5,2,4.87,3.44,78.4504
L2,L265,ACACET,2.7,,b,5.72265,0.5,1.56,1.06,2.5,2,4.87,3.44,40.9962
L2,L265,ACACET,3.2,,b,8.0384,0.5,1.56,1.06,2.5,2,4.87,3.44,67.7492
L2,L265,ACACET,1.5,,b,1.76625,0.5,1.56,1.06,2.5,2,4.87,3.44,-23.211
L2,L265,ACACET,1.2,,b,1.1304,0.5,1.56,1.06,2.5,2,4.87,3.44,-39.2628
L2,L265,ACACET,2.1,,b,3.46185,0.5,1.56,1.06,2.5,2,4.87,3.44,8.8926
L2,L266,ACACET,7.1,M,M,39.57185,0.5,2.43,1.93,2.5,2,4.89,6.29,276.4226
L2,L266,ACACET,3.6,M,M,10.1736,0.4,1.78,1.38,1.55,2,1.87,1.72,89.1516
L2,L266,ACACET,2.9,,b,6.60185,0.4,1.78,1.38,1.55,2,1.87,1.72,51.6974
L2,L266,ACACET,1.7,,b,2.26865,0.4,1.78,1.38,1.55,2,1.87,1.72,-12.5098
L2,L266,ACACET,3.6,M,M,10.1736,0.3,1.28,0.98,1.8,2,2.42,1.58,89.1516
L2,L266,ACACET,3.4,,b,9.0746,0.3,1.28,0.98,1.8,2,2.42,1.58,78.4504
L2,L266,ACACET,2.7,,b,5.72265,0.3,1.28,0.98,1.8,2,2.42,1.58,40.9962
L2,L267,ACACET,9.4,M,M,69.3626,1,3.95,2.95,5.45,2,23.3,45.82,399.4864
L2,L267,ACACET,5.4,,b,22.8906,1,3.95,2.95,5.45,2,23.3,45.82,185.4624
L2,L267,ACACET,8.5,,b,56.71625,1,3.95,2.95,5.45,2,23.3,45.82,351.331
L2,L267,ACACET,6.7,,b,35.23865,1,3.95,2.95,5.45,2,23.3,45.82,255.0202
L3,L314,ACACET,2.7,M,M,5.72265,0.4,0.75,0.35,1.48,1,1.7,0.4,40.9962
L3,L314,ACACET,1.5,,b,1.76625,0.4,0.75,0.35,1.48,1,1.7,0.4,-23.211
L3,L314,ACACET,2.3,,b,4.15265,0.4,0.75,0.35,1.48,1,1.7,0.4,19.5938
L3,L314,ACACET,1.5,,b,1.76625,0.4,0.75,0.35,1.48,1,1.7,0.4,-23.211
L3,L314,ACACET,1.8,,b,2.5434,0.4,0.75,0.35,1.48,1,1.7,0.4,-7.1592
L3,L314,ACACET,2.3,,b,4.15265,0.4,0.75,0.35,1.48,1,1.7,0.4,19.5938
L3,L314,ACACET,2.1,,b,3.46185,0.4,0.75,0.35,1.48,1,1.7,0.4,8.8926
L3,L314,ACACET,15.6,M,M,191.0376,1.1,3.07,1.97,3.53,1,9.69,12.73,731.2236
L3,L314,ACACET,13.3,,b,138.85865,1.1,3.07,1.97,3.53,1,9.69,12.73,608.1598
L3,L314,ACACET,6.5,,b,33.16625,1.1,3.07,1.97,3.53,1,9.69,12.73,244.319
L3,L315,ACACET,13.6,M,M,145.1936,1.55,3.33,1.78,4.66,2,16.45,19.52,624.2116
L3,L316,ACACET,12.1,M,M,114.93185,0.8,3.28,2.48,3,1,7.06,11.67,543.9526
L3,L316,ACACET,11.7,M,M,107.45865,1.22,3.54,2.32,4.3,1,14.5,22.42,522.5502
L3,L316,ACACET,12.4,M,M,120.7016,1.1,2.85,1.75,1.63,1,2.07,2.42,560.0044
L3,L317,ACACET,7.8,M,M,47.7594,1.21,3.51,2.3,2.5,1,4.86,7.45,313.8768
L3,L317,ACACET,6.5,,b,33.16625,1.21,3.51,2.3,2.5,1,4.86,7.45,244.319
L3,L317,ACACET,3.5,,b,9.61625,1.21,3.51,2.3,2.5,1,4.86,7.45,83.801
L3,L317,ACACET,2.5,,b,4.90625,1.21,3.51,2.3,2.5,1,4.86,7.45,30.295
L3,L317,ACACET,3.1,,b,7.54385,1.21,3.51,2.3,2.5,1,4.86,7.45,62.3986
L3,L317,ACACET,2.7,,b,5.72265,1.21,3.51,2.3,2.5,1,4.86,7.45,40.9962
L3,L317,ACACET,8.5,M,M,56.71625,1.1,3.93,2.83,3.38,1,8.94,16.86,351.331
L3,L317,ACACET,3.7,,b,10.74665,1.1,3.93,2.83,3.38,1,8.94,16.86,94.5022
L3,L317,ACACET,2.6,,b,5.3066,1.1,3.93,2.83,3.38,1,8.94,16.86,35.6456
L3,L317,ACACET,3.9,,b,11.93985,1.1,3.93,2.83,3.38,1,8.94,16.86,105.2034
L3,L317,ACACET,6.5,M,M,33.16625,0.9,3.49,2.59,3.4,1,9,15.55,244.319
L3,L317,ACACET,3,,b,7.065,0.9,3.49,2.59,3.4,1,9,15.55,57.048
L3,L317,ACACET,3.3,,b,8.54865,0.9,3.49,2.59,3.4,1,9,15.55,73.0998
L3,L319,ACACET,9.2,M,M,66.4424,0.57,3.44,2.87,3.03,1,7.18,13.74,388.7852
L3,L319,ACACET,7,,b,38.465,0.57,3.44,2.87,3.03,1,7.18,13.74,271.072
L3,L319,ACACET,3.5,,b,9.61625,0.57,3.44,2.87,3.03,1,7.18,13.74,83.801
L3,L320,ACACET,8.1,M,M,51.50385,0.7,2.47,1.77,2.23,1,3.8,4.49,329.9286
L3,L320,ACACET,4.3,M,M,14.51465,0.6,2.13,1.53,1.98,1,3.05,3.11,126.6058
L3,L320,ACACET,2.8,,b,6.1544,0.6,2.13,1.53,1.98,1,3.05,3.11,46.3468
L3,L320,ACACET,6.3,M,M,31.15665,0.7,3.3,2.6,2.33,1,4.22,7.31,233.6178
L3,L320,ACACET,4.5,,b,15.89625,0.7,3.3,2.6,2.33,1,4.22,7.31,137.307
L3,L320,ACACET,4,,b,12.56,0.7,3.3,2.6,2.33,1,4.22,7.31,110.554
L3,L320,ACACET,6.1,,b,29.20985,0.7,3.3,2.6,2.33,1,4.22,7.31,222.9166
L3,L320,ACACET,4.6,,b,16.6106,0.7,3.3,2.6,2.33,1,4.22,7.31,142.6576
L3,L320,ACACET,2.8,,b,6.1544,0.7,3.3,2.6,2.33,1,4.22,7.31,46.3468
L3,L321,ACACET,6.3,M,M,31.15665,0.5,2.18,1.68,1.7,1,2.24,2.51,233.6178
L3,L321,ACACET,3.1,,b,7.54385,0.5,2.18,1.68,1.7,1,2.24,2.51,62.3986
L3,L321,ACACET,10.5,M,M,86.54625,0.9,0.98,0.08,3.71,1,10.77,0.57,458.343
L3,L321,ACACET,6.5,,b,33.16625,0.9,0.98,0.08,3.71,1,10.77,0.57,244.319
L3,L321,ACACET,6.5,,b,33.16625,0.9,0.98,0.08,3.71,1,10.77,0.57,244.319
L3,L321,ACACET,15.7,M,M,193.49465,0.8,3.32,2.52,3.36,1,8.86,14.89,736.5742
L3,L321,ACACET,5.7,,b,25.50465,0.8,3.32,2.52,3.36,1,8.86,14.89,201.5142
L3,L321,ACACET,11.5,M,M,103.81625,0.8,2.48,1.68,3.23,1,7.79,8.72,511.849
L3,L321,ACACET,9.5,,b,70.84625,0.8,2.48,1.68,3.23,1,7.79,8.72,404.837
L3,L321,ACACET,6.3,,b,31.15665,0.8,2.48,1.68,3.23,1,7.79,8.72,233.6178
