RecordID;Group;Participant;Service.original;Specific.Service.harmonized;ESCODE;Ecosystem.service;Ecosystem.service.type;Habitats;Biome;Importance;Why.important;HWB;Keyword.why.important;Provision;Why.changed.provision;Keyword.why.changed.provision;Access;Why.changed.access;Keyword.why.changed.access;Provision.will;Access.will;Measures.needed;Action.by.whom.provision;Keyword.Action.provision;Action.by.whom.access;Keyword.action.access;Comments;HWB.MAT;HWB.SEC;HWB.PHY;HWB.SOC;BIO.AGR;BIO.AGF;BIO.ALP;BIO.WAT;BIO.FOR;BIO.GRS
52;Green;81;Pest and disease control;Pest and disease control;ES.PST;Regulation of organisms detrimental to humans;Regulating;"Agricultural areas; Forest; Savanah";"forest; agriculture; grassland";High;Food production and income generation;"physical; material";"food; income";no answer;No answer;NA;No answer;No answer;NA;No answer;No answer;No answer;"Habitats for natural endemics; improved knowledge on pests ad predator interactions";"Habitat; Improved knowledge";No answer;NA;NA;1;0;1;0;1;0;0;0;1;1
53;Green;81;Fertile soils;Soil fertility;ES.SOL;Formation, protection and decontamination of soils, and sediments;Regulating;"Forest; agricultural areas; Savannah";"forest; agriculture; grassland";High;"Tree growth; Crop production";material;"tree growth; agricultural productivity";no answer;No answer;NA;No answer;No answer;NA;No answer;No answer;No answer;"Training on soil management; reduced disturbance on natural systems";"Conservation education on soils; Restricted use";No answer;NA;NA;1;0;0;0;1;0;0;0;1;1
54;Green;134;Food;Food;ES.FOD;Food and feed;Provisioning;"Forest; aquatic ";"forest; freshwater";High;"Provide food; Development of agricultural plans; source of water; support aquatic life";"physical; material";"food; agriculture; water source; life support";no answer;No answer;NA;No answer;No answer;NA;Decrease;Deteriorate;Yes;"Enforce appropriate laws; Promote conservation education; Discourage threats";"Law enforcement; Conservation education";No answer;NA;NA;1;0;1;0;0;0;0;1;1;0
55;Green;134;Cultural value;Cultural value;ES.IDE;Supporting identities;Cultural;"Forest; Mountain; Water resevours";"forest; freshwater";High;"Spiritual value; religious; pride of Africa";cultural;"spiritual value; identity";no answer;No answer;NA;No answer;No answer;NA;Decrease;Deteriorate;Yes;"Keep preserving abd protect the mountain agaist encrochment; human settlement; law enforcement";"Conservation; law enforcement";No answer;NA;NA;0;0;0;1;0;0;0;1;1;0
56;Green;134;Income;Income;ES.LIV;Other - livelihoods, economy, employment and income;Other;"Forest; mountain; Alpine moorland";"forest; alpine";High;"Promote Tanzanian tourism; incone generation both for national ad locals, employment creation; Medicinal/food to locak people";"physical; material";"tourism; income; employment; medicinal";no answer;No answer;NA;No answer;No answer;NA;Decrease;No answer;No answer;"Encourage environmental education; law enforcemet; promote responsible tourism; discourage encroachment";"Environmental educaton; law enforcement; tourism; discourage deforestation";No answer;NA;NA;1;0;1;0;0;0;1;0;1;0
57;Orange;4;Nutrient cycling;Nutrient cycling;ES.SOL;Formation, protection and decontamination of soils, and sediments;Regulating;Savannah;grassland;High;Nutrient cycling which is done by earthworms and dung beetles is very important as it increases soil fertility;material;soil fertility;decreased;Increased human population which destroys the environment and living organisms;"population growth; environmental degradation";decreased;Human activities like agriculture has decreased this access because there were many areas burnt and when the areas are burned, the living organisms in the soil, e.g. earthwoms and dung beetles, most of them die. Hence, decreased access to ertile soil.;fire;decrease;deteriorate;yes;Government should provide conservation education from the primary scholl to higher learning students, so that when this young generation grows up, they are aware of environmental conservation;education;NA;NA;NA;1;0;0;0;0;0;0;0;0;1
58;Orange;4;Medicinal trees;Medicine;ES.MED;Medicinal, biochemical and genetic resources;Provisioning;Forest;forest;High;It provides medicine to people;physical;health;decreased;Overexploitation of trees by local people for medicinal use;overexploitation;decreased;Overexploitation of trees has changed access from high access to lower access as some of the trees are near to extinction;overexploitation;decrease;deteriorate;yes;"Government should provide conservation education to local people; local people, through their leaders should be involved in conservation matters; Enhance tree planting to local communities";"education; involvement; tree planting";NA;NA;NA;0;0;1;0;0;0;0;0;1;0
59;Orange;13;Water source;Water;ES.WQN;Regulation of freshwater quantity, location and timing;Regulating;Forest;forest;High;It provides water at high mount for irrigation and domestic use;"physical; material";"human consumption; irrigation; agriculture";increased;"The community does not cut off the tree; population growth was very low";"decreased logging; low population growth";decreased;"existence of laws that strictly prohibit entrance of forest; increase in numbers of people who destroy the forest";"restricted forest access; forest degradation";decrease;deteriorate;yes;"Construct bylaws that will control community to access the conserved area illegally; public awareness on benefits given from forests";"legal measures; awareness raising";"Control population; introduce new technology of drilling water rather than depending on single use of water from forest";"population control; drilling water well";NA;1;0;1;0;0;0;0;0;1;0
60;Orange;13;Medicinal plants / trees;Medicine;ES.MED;Medicinal, biochemical and genetic resources;Provisioning;Forest;forest;Moderate;Local community benefits by getting the medicinal plants;physical;medicine, health;decreased;"Population grows; local community depending on one source of resource for their needs";population growth;decreased;"Existence of bylaws; raise of awarenesss of local community on using technological medics rather than local ones";"legal; promotion and use of mainstream drugs";decrease;deteriorate;yes;Raising awareness of local communities not to depend on forest products only;awareness raising;Bylaws that regulate entrance of locals to forest resource;Restrict access;NA;0;0;1;0;0;0;0;0;1;0
61;Orange;35;Carbon sink;Carbon sequestration;ES.CLI;Regulation of climate;Regulating;Forest;forest;High;Helps to reduce greenhouse gases such as CO2 by absorbing them;"security; physical";reduces greenhouse gas;decreased;Human destructive activities, such as clearing forests for agricultural land, building etc;"human activities; deforestation for agriculture; urbanization";decreased;Heat waves have been seen to be increasing;climate change;decrease;deteriorate;yes;"Encourage reforestation; set more protected areas; provide environmental education by governments / NGOs";"reforestation; environmental education; PA designation";In order to have access to carbon seuqestration services from the forest, we need to conserve more areas for nature, we need to plant more trees, and discourage unsustainable use of forest products;PA designation, tree planting, sustainable consumption;NA;0;1;1;0;0;0;0;0;1;0
62;Orange;35;Water source;Water;ES.WQN;Regulation of freshwater quantity, location and timing;Regulating;Mountain;forest;High;The mountain is a water tower for the town of Moshi and other surrounding districts for both domestic and commercial uses. It is a source for irrigation, hydroelectrical power etc;"physical; material";"domestic water use; irrigation; hydropower";increased;"More services on water has been extended to people through the use of pipes; more water reservoirs have been established; more irrigation schemes have been established";"piped water; water reservoirs; irrigation schemes";increased;The access has increased;access increased;decrease;deteriorate;yes;plant more trees on the slope of Mount Kilimanjaro to encourage more water retention capacity of the mountain;tree planting;"Improve more services to the people through the use of efficient water distribution, e.g. pipe etc; people should be encouraged to pay for the service";"water distribution system; commercialization";NA;1;0;1;0;0;0;0;0;1;0
63;Orange;35;Flood control;Flood control;ES.HAZ;Regulation of hazards and extreme events;Regulating;Forest;forest;High;"It helps to regulate direct rain drops by acting as a cushion to slow doen the impacts of the rain on the soil; it also regulates the water speed from the rain";material;"rainfall interception; runoff reduction";decreased;Human destructive activities such as cutting down of trees to pave large for agricultural practicces;forest conversion to agriculture;decreased;Flooding continues to impact most areas in the area;flooding;decrease;deteriorate;yes;"The government, in collaboration with other organizations such as international NGOs, can set aside more protected areas; encourage people to plant more trees; provide environmental education";"reforestation; environmental education; PA designation";In order to inctrease access to this services, people should be taught the importance of the ecosystem services provided by nature;environmental education;NA;1;0;0;0;0;0;0;0;1;0
64;Orange;43;Rainfall;Rain;ES.CLI;Regulation of climate;Regulating;Forests;forest;High;"Regulates the vegetaton cover of our areas; provides water for agricultural activities; provides water for the wildlife resources";"physical; material";"ecosystems; wildlife; agriculture";decreased;"Prolonged droughts due to changed climate; deforeststion";"climate change; deforestation";decreased;"Climate changes; high demand of rainfall; high population growth";"climate change; population growth; increased demand";decrease;deteriorate;yes;"More efforts on tree planting activities; land restoration practices";"tree planting; land restoration";More trees should be planted;tree planting;NA;1;0;1;0;0;0;0;0;1;0
65;Orange;43;Source of water;Water;ES.WQN;Regulation of freshwater quantity, location and timing;Regulating;Water bodies;freshwater;High;"Provides water for the people's various uses domestically; provides raw materials for industrial development";"physical; material";"domestic water use; industrial water use";decreased;"Climate change; growing number of population; growing number of livestock";"climate change; population growth; livestock increase";decreased;"More people having to share the same resources; climate changes affected water availability in the area";"population growth; climate change; resource scarcity; reduced water availability";decrease;deteriorate;yes;"Afforestation: plant more trees; encourage environmental friendly economic activities, e.g. beekeeping";"tree planting; environmentally friendly economic activities";"Controlling population growth; change environmental policies to control access to water resources; more efforts on conservation education";"population control; regulate acces to water; environmental education";NA;1;0;1;0;0;0;0;1;0;0
66;Orange;58;Water;Water;ES.WQN;Regulation of freshwater quantity, location and timing;Regulating;Agroforestry;agroforestry;High;Without water there is no life;physical;Water is life;decreased;Climate change due to environmental destruction;Climate change, Environmental destruction;decreased;Increased human population has caused increased demand;Population growth;Decrease;Deteriorate;Yes;Environmental education;awareness raising;NA;NA;NA;0;0;1;0;0;1;0;0;1;0
67;Orange;58;Food;Food;ES.FOD;Food and feed;Provisioning;Agroforestry;agroforestry;High;Makes people live;physical;Life;decreased;Environmental degradation;Environmental degradation;decreased;Environmental degradation;Environmental degradation;Decrease;Deteriorate;Yes;Environmental education;Awareness raising;NA;NA;NA;0;0;1;0;0;1;0;0;1;0
68;Orange;59;Habitat;Habitat;ES.HAB;Habitat creation and maintenance;Regulating;Forest, rivers;"forest; freshwater";High;Provide areas for breeding, feeding;cultural;"breeding areas; feeding areas";decreased;"Human illegal activities; poor agricultural methods";"Human illegal activities; poor agricultural methods";decreased;"People are still doing illegal activities; which has caused more destruction";"illegal activities; environmental degradation";decrease;deteriorate;yes;"Education; tree planting; use of rules and regulations";"education; tree planting; regulatory control";"funds; professionals to provide education to local communities";"financial resources; education";All stakeholders should cooperate in safeguarding these habitats so as the nature to provide quality services to both human and wild organisms;0;0;0;1;0;0;0;1;1;0
69;Orange;59;Seed dispersal;Seed dispersal;ES.POL;Pollination and dispersal of seeds and other propagules;Regulating;Wildlife corridor;grassland;High;It allows dispersal of trees from one place to another which is done by biords, wild animals, insects;cultural;seed dispersal;decreased;"Blockage of migratory corridor due to urbanization; development activities, i.e. dam constructiion which affects birds migratory route";"urbanization; dam construction";decreased;Human activities are still done on the wildlife corridor;human activities;decrease;deteriorate;yes;"Education on importance of wildlife corridors; shifting peoplereside in these corridor that is reopen of the corridor";"relocation; resettlement";;;Local community should be involved in this process of shifting to the corridor so to allow the service to take place;0;0;0;1;0;0;0;0;0;1
70;Orange;60;Source of food;Food;ES.FOD;Food and feed;Provisioning;;;High;"It is where life earns; the stuff and non tangible things found, provided by nature contributes to over 65% of things useful to the local population";"material; security; cultural";;decreased;"Poor / bad use and management of land; lack of awareness; the major contributor is global warming";"climate change; lack of awareness; poor land management";decreased;"An increase in population; use of cultivation methods which are not friendly to the matter of conservation";"population growth; unsustainable agriculture / poor agricultural practices";decrease;deteriorate;yes;"Raising awareness to the community; farm extension services should be provided to the maximum to the local societies to improve farmnig / cultivation practices";"awareness raising; improve farm extension services ";"Land use plans and management is adviced; increased production of food like quantity , quality and means";land use palns;;1;1;0;1;0;0;0;0;0;0
71;Orange;60;Source of energy;Energy;ES.NRG;Energy;Provisioning;;;Moderate;"Energy is a daily used component; overuse of nature's material for energy is harmful to ecosystem and conservation";material;energy;decreased;"The increase of population; minimum use of alternative sources of energy out of charcoal and firewood; lacking of awareness";"population growth; lack of use of alternative energy; lack of awareness";not changed;"Corruption; higher prices to alternative sources of energy; dependency on the same sources of energy as per nature of life";"corruption; high cost of alternative energy; dependence on fuelwood";increase;not change;yes;"Increase of cheaper means of energy for the community; raising awarenes to the society; government's will to change the situation";"cheaper energy; awareness raising; government action";"Reduction of the costs and prices of the alternative sources of energy; planting trees to be used specially for fuel consumption";"cheaper energy; planting energy trees";NA;1;0;0;0;0;0;0;0;0;0
72;Orange;77;Rainfall;Rain;ES.CLI;Regulation of climate;Regulating;Agroforestry;agroforestry;High;"Improve agriculture; source of water; source of animal pasture; source of electrical power";material;"water; agriculture; energy; fodder";decreased;"Deforestation; bad agricultural practice";"deforestation; poor agricultural practices";decreased;"Overgrazing; deforestation";"overgrazing; deforestation";decrease;deteriorate;yes;"Increase afforestation; community awareness; use modern agricultural practices";"afforestation; raising awareness; agricultural improvement";to have more than one energy so as to reduce the use of rainfall as source of energy;energy source diversification;NA;1;0;0;0;0;1;0;0;1;0
73;Orange;77;Water sources;Water;ES.WQN;Regulation of freshwater quantity, location and timing;Regulating;Forest;forest;High;"Source of enrg; use for agricultural practice; use for domestic and animal purposes";"physical; material";"energy; agriculture; domestic use; animal use";decreased;"Population increase; bad agricultural practices; deforestation; lack of land use planning;m political intervention";"population growth; bad agricultural practices; deforestation; lack of land use planning";decreased;"Increase of population; overgrazing";"population growth; overgrazing";decrease;deteriorate;yes;"Community awareness; re / afforestation; fencing the water sources";"raising awareness; reforestation; fencing";conservation of water sources;conservation of water sources;NA;1;0;1;0;0;0;0;0;1;0
74;Orange;83;Water sources;Water;ES.WQN;Regulation of freshwater quantity, location and timing;Regulating;Montane Forest;forest;High;"Provides water for domestic, agricultural and industrial use; water for wildlife and livestock; other living organisms";"physical; material";"agriculture; industry; domestic use; wildlife; livestock";decreased;"Population increas vs water resources; large scale farming which needs more water for irrigation; climate change; loss of canopy cover especially where river crosses";"population growth; irrigation; climate change";increased;"More water infrastructures for water supply; more storage tanks and pipes";improved water storage and distribution infrastructure;decrease;deteriorate;yes;"Population control / family planning; land use plans; wise use of water resources; educating the communities; enforecemnt of laws rules and regulations; the government, communities and all other water users should do these";"population control; land use plans; wise use of resources; education; law enforcement";"Good water resources planning; urban planning; reduce leakages; improve storage tanks; enforce laws, regulations and rules; the government, communities and all other water users should do these";"planning; technical improvements; law enforcement";NA;1;0;1;0;0;0;0;0;1;0
75;Orange;83;Recreational or tourism value;Tourism;ES.EXP;Physical and psychological experiences;Cultural;Montane forests, Alpine desert, Glaciers;"forest; alpine";High;"Brings about foreign currency; employment opportunity to local people, e.g. guides, porters, cooks etc; tourism brings about multiplier effects; improves relationship";material;"income; employment; multiplier effect";increased;"more tourism products and experiences; good protection of resources; more advertisements; good security of the country";"increased tourism; protection of resources; advertisements; security";increased;"more tourism products; good access / infrastructures / facilities; more tour operators / agents; more advertisements";"tourism products; access; infrastructure; facilities; tour operators; agents; advertisements";decrease;deteriorate;yes;"improve services to tourists; strengthen security; introduce more tourism products; more adverisement; protection of the habitats; the government, tour operators, communities and other partners should do this";"services; security; tourism products; advertisements; habitat protection";"Improve inrastructure / facilities; more information to tourists or tour agentas (adverts); good services, e.g. transportation, food etc; the government, operators and other partners";"infrastructure; facilities; information; services; transportation; food";NA;1;0;0;0;0;0;1;0;1;0
76;Orange;120;Rainfall;Rain;ES.CLI;Regulation of climate;Regulating;Plantations;agriculture;High;"Because the potential increase of yield crops depends on water / rainfall; important for the aquatic livelihood and the domestic uses";"physical; material";"crop yield; aquatic life; domestic use";decreased;changed due to change in temperature, cliamtic change, deforestation and poor agricultural activities;"climate change; temperature; deforestation; poor agricultural practices";decreased;"erratic rain period; prolonged drought; climatic change";"drought; erratic rain; climate change";decrease;deteriorate;yes;knowledge about the effects of deforestation, and the effect of not using conservation agriculture;"improve knowledge; understanding effects of deforestation; conservation agriculture";sensibilization of the community and the knowledge to the community;"awareness raising; education";NA;1;0;1;0;1;0;0;0;0;0
77;Orange;120;Soil fertility;Soil fertility;ES.SOL;Formation, protection and decontamination of soils, and sediments;Regulating;Agricultural lands;agriculture;High;Because the fertility of the soil increases the potential yield for the crops;material;agricultural productivity;decreased;the fertility has changed because of the poor agricultural practices, e.g. deforestation leads to leaching / erosion. The use of pesticides leads to destroy the beneficial organisms for organic matter decomposition which fall to fertility;"poor agricultural practices; deforestation; leaching; erosion; pesticides; loss of soil biodiversity";decreased;because some of the beneficial soil organisms to decompose organic matter for the soil fertility some destroyed;loss of soil biodiversity;decrease;deteriorate;yes;knowledge concerning environmental degradation has to be given to the community in general;education;conservation agriculture has to be practical to the particular community;conservation agriculture;General awareness (knowledge to the community concerning conservation agriculture);1;0;0;0;1;0;0;0;0;0
78;Orange;121;Pollination;Pollination;ES.POL;Pollination and dispersal of seeds and other propagules;Regulating;NA;NA;High;Pollination is the important factor for fruit development, thus food;"physical; material";"fruit yield; food";decreased;The pollinator agents such as bees are decreasing;decrease in bee populations;decreased;"the decrease of natural patches in the farmland has resulted in poor diversity of pollinators; application of chemicals for agriculture";"loss of forest patches; agrochemicals";decrease;deteriorate;yes;Maintain and improve the natural patches in agricultural habitats;conservation of forest patches;reducing application of pesticides in farming processes;reduce pesticide use;NA;1;0;1;0;0;0;0;0;0;0
79;Orange;121;Carbon sink;Carbon sequestration;ES.CLI;Regulation of climate;Regulating;Mount Kilimanjaro;NA;High;"The nature initiaties the life system in the community (i.e. everything start from it); the food, shelter, clothing etc";"physical; material; security";"food; shelter; clothing";decreased;Climatic changes due to population increases had result in all the changes;"climate change; population growth";decreased;There is a bit of competition from them while the numbers of these resources are decreasing in relation to carrying capacityies;"resources decrease; carrying capacity is exceeded; competition in access to natural resources";decrease;deteriorate;yes;"Documenting and publicizing them for awareness; proper measure for utilizing and protecting them, e.g. laws; commitment on conserving them; substitutional resources are needed";"awareness raising; legal instruments; alternative resources";NA;NA;NA;1;1;1;0;0;0;0;0;0;0
80;Orange;121;Agriculture benefits;Agriculture;ES.FOD;Food and feed;Provisioning;Mount Kilimanjaro;NA;High;source of food (e.g. banana), and raw materials;material;"food provision; raw materials";decreased;the productivity is low by now;decreased of agricultural productivity;not changed;NA;NA;decrease;deteriorate;yes;Proper agro-conservation application in farmlands along the Mount Kilimanjaro;conservation agriculture;Land use planning has to lead the application and access to this service;land use planning;NA;1;0;0;0;0;0;0;0;0;0
81;Orange;122;Building material;Building materials;ES.MAT;Materials and assistance;Provisioning;Forestry;forest;High;"Help community to build its home; help community to gain income through selling this building material; it helps the community in building infrastructure; it is a source of employmentthrough employee community on preparing this material";material, security;"building material; income; employment; infrastructure";decreased;"Demand of community has increased; poor awareness to the community toward conserving forest; shortage of land due to population increase; slear forest for establishment of settlement; poor land use planning to community; climate variability shortage of rainfall";"increase of demand; lack of awareness; land shortage; population growth; poor land use planning; climate change; lack of rain; deforestation for settlements";decreased;"population increase; human activities like livestock and agriculture; demand of the service has increased";"population growth; livestock; agriculture; increased demand";decrease;deteriorate;yes;"public awareness; tree planting; law enforcement";;"Regulary public education; effective implementation of laws and policies; establishment of forest club";"education; law implementation; forest club";NA;1;1;0;0;0;0;0;0;1;0
82;Orange;122;Water source;Water;ES.WQN;Regulation of freshwater quantity, location and timing;Regulating;Water bodies;freshwater;High;"It provides water that is very important for living organisms; it provides habitat for some organismsm, especially marine and xxxx, like fish; it provides water that is used for human activitylike irrigation; it is a source of hydropower";"physical; material";"habitat; life support; irrigation; hydropower";decreased;"Population increase; climate variability like shortage of rainfall, increase of temperature; encroachment / interference by human activities at source (water table)";"population growth; climate change; encroachment; human activities";decreased;"Climate variability, like shortage of rainfall and high temperatures; population increase; poor land planning";"climate change; population growth; poor land use planning";decrease;deteriorate;yes;"Public awareness; tree planting; good land planning / land use planning; law enforcement";"public awareness; tree planting; land use planning; law enforcement";"Regulary public awareness; implement law and regulations effective; land use planning should be effective implemented";"awareness raising; law implementation; land use planning";NA;1;0;1;0;0;0;0;1;0;0
83;Orange;123;Source of water;Water;ES.WQN;Regulation of freshwater quantity, location and timing;Regulating;Agricultural lands;agriculture;High;"Provision of hydroelectrical power; comsumption of human beings (domestic purposes); for irrigation purposes";"physical; material";"hydropower; domestic water consumption; irrigation";decreased;"Environmental degradation; clamatic change; deforestation";"environmental degradation; climate change; deforestation";decreased;"Population growth; high demand of water for domestic and irrigation purposes";"population growth; high demand for domestic use water; high demand for irrigation water";decrease;deteriorate;yes;"Enforcement of laws in protection of water sources; encourage plantation of trees in water sources";"law enforcement; tree planting";Reducing ???? Because there is high demand for the resources;reduce demand;NA;1;0;1;0;1;0;0;0;0;0
84;Orange;123;Energy source;Energy;ES.NRG;Energy;Provisioning;Plantations;agriculture;High;Provide fuel: firewood, charcoal;material;"firewood; charcoal";decreased;"Population growth: there is high demand for energy sources for cooking; climate change; poverty";"population growth; climate change; poverty; increased energy demand";decreased;There is high demand for energy sources for cooking: firewood, charcoal, wood;high demand for cooking fuel (charcoal, fuelwood);decrease;deteriorate;yes;"Continue to replant trees (afforestation); promotion of tree planting campaigns by planting more than 1 million trees in each district";tree planting;NA;NA;NA;1;0;0;0;1;0;0;0;0;0
85;Orange;124;Ecosystem balance;Habitat;ES.HAB;Habitat creation and maintenance;Regulating;NA;NA;High;"It provides fresh air to the atmosphere; it removes the dirty air from the atmosphere; it removes out CO2";physical;"air purification; carbon sequestration";decreased;"It decreased because of: the increase in the number of people; deforestation (cutting of trees)";"population growth; deforestation";decreased;NA;NA;increase;deteriorate;yes;"Education to the society; planting of trees (reforestation)";"education; reforestation";NA;NA;NA;0;0;1;0;0;0;0;0;0;0
86;Orange;124;Rainfall;Rain;ES.CLI;Regulation of climate;Regulating;NA;NA;High;"The service is important because of the following: it provides water; it provides oxygen; source of food";physical;"water provision; oxygen provision; food provision";increased;Rainfall increased to the area because people know the importance of planting trees;reforestation;increased;Rainfall increased in these 10 years. C???? To 10 years ago because the society have education to that;education;decrease;deteriorate;yes;"People plant trees more and more; education to the people to the effect of environmental destruction";"education; tree planting";"Rainfall to our society is more important; the government should provide education to the society and provide some issues to the society";education;NA;0;0;1;0;0;0;0;0;0;0
88;Red;9;Tourism;Tourism;ES.LIV;Other - livelihoods, economy, employment and income;Other;NA;NA;High;Mild / moderate but still warm Kilimanjaro climate favoured by tourism. Clean air for mountain hikers;physical;tourism;not changed;NA;NA;Increased;In general the sense for a healthy enviornment is favoured in tourism;healthy environment;Decrease;Mixed;Yes;"Maintain and increase forest cover; secure other nutritional resources; bind social energies (between and among local societies and governments)";"reforestation; food security; social cohesion";"decrease carbon offset; stop charcoal burning; build more bridges";"alternative energy; infrastructure";NA;0;0;1;0;0;0;0;0;0;0
89;Red;3;Tourism;Tourism;ES.LIV;Other - livelihoods, economy, employment and income;Other;NA;NA;High;"Create employment; raise national income; increase in the country with foreign currency; explore our national to the other countries / worldwide";material;"employment; national income; national promotion";increased;"By following the national laws strictly; education provided to the people concerned with the sector of tourism; more attractions within the country and the peace which is available";"law enforcement; education, national promotion; tourism";Increased;"improvement of the transport system (roads); increase of the airplane within the country (Dreamliner, Boeing 787-8)";improved transport infrastructure;Decrease;Deteriorate;Yes;government in general by providing more awareness to the entire population;raising awareness;to create more companies by allowing more registration to be done by reducing the taxes during registration;"business development; tax reform";more school colleges are needed to train more people so that they can follow the national rules and regulations and being aware about the importance of tax payment while running their companies;1;0;0;0;0;0;0;0;0;0
90;Red;9;Tourism;Tourism;ES.LIV;Other - livelihoods, economy, employment and income;Other;NA;NA;High;It is the economic foundation of our business. An iconic mountain that is a world heritage and an iconic landmark;"material; cultural";economic;not changed;NA;NA;Increased;Become more popular in the world of tourism/mountaineering;increased popularity;Decrease;Deteriorate;No answer;Tourism;Tourism;Coordination of strategies to improve tourism services with stronger guidelines in conservation and participatory approaches for tourism operators on one side and government / conservation groups to intensify their contributions;"coordination; guidelines";NA;1;0;0;1;0;0;0;0;0;0
91;Red;8;Tourism;Tourism;ES.LIV;Other - livelihoods, economy, employment and income;Other;Mountain in general from home gardens to ice peak, savannah habitat and wildlife corridors;"agriculture; agroforestry; grassland";High;Revenue and main income activities;material;"revenue; income";decreased;"Human population growth; decrease in wildlife population; erosion and strong winds; less fodder; less rains due to deforestation; less water services";"population growth; decrease wildlife population; erosion; deforestation; climate change";Increased;"More awareness of the negative patterns; trying to work against the same. Advocacy building team work to build a more stable future";"increased awareness; advocacy";Decrease;Deteriorate;Yes;Land use planning. Regulated tourism activities. Environmental assessment plans to assist local communities on where to graze, when, how, what. Implement alternative income;"Lan use planning; regulate tourism; environmental assessment; alternative income";Involve private sector in management planning of land use and tourism activities;involve private sector;NA;1;0;0;0;1;1;0;0;1;1
92;Red;53;Tourism;Tourism;ES.LIV;Other - livelihoods, economy, employment and income;Other;NA;NA;High;livelihood;"physical; material";livelihood;increased;Kilimanjaro name need a trademark;trademark;Increased;more in demand;increased demand;Decrease;Deteriorate;Yes;education to the public and more effort towards conservation around the region;"education; conservation";NA;NA;NA;1;0;1;0;0;0;0;0;0;0
93;Red;7;Tourism;Tourism;ES.LIV;Other - livelihoods, economy, employment and income;Other;NA;NA;High;This is due to the living. It gives emplyment to the people and help in a daily living life;"physical; material";employment ;increased;because of chances for the jobs and it is popular mostly in Kilimanjrao because of the mountain;"popular; employment opportunities";Increased;Because of good government support to protect the nature and because of more people are interested on it;"government support; public interest";Increase;No answer;Yes;"Good services; hospitality";"Good services; hospitality";this should be done by individual people, communities, organization and the government;NA;NA;1;0;1;0;0;0;0;0;0;0
94;Red;41;Tourism;Tourism;ES.LIV;Other - livelihoods, economy, employment and income;Other;NA;NA;Moderate;"Provides employment; earn the foreign exchange";material;"employment; foreign currency";increased;There is gradual increase due to increased marketing strategy, support and own international flight;"marketing; support; transport";Increased;"Presence of tourism act setting aside mountain climb business to Tanzanian citizens only; individual tour operators marketing strategy";"tourism act; marketing strategy";No answer;Improve;No answer;"Empower mountain undertaking to TTB and individual tour operators; increase international flight and direct to Northern Zone (KIA)";"empower tour operators; increase transport";lesser burden of tourism destination upon the park entry fees, airport charges, etc;reduce burden for tourists;Special attention should be envisaged to reduce number of porters on the mountain versus increase of number of tourists by deplying conveyor belts to some mountain routes;1;0;0;0;0;0;0;0;0;0
95;Red;27;Social aspects;Social interactions;ES.IDE;Supporting identities;Cultural;NA;NA;High;"Feel scenery of mountain view; prestige; sense of identity";cultural;"scenery; prestige; identity";decreased;"human activities; change of climate; number of people in Kilimanjaro";"human activities; climate change";Decreased;"change of climate decreasing of snow; change of rain season; less rain; inverse of temperature";climate change;Decrease;Deteriorate;Yes;"to control climate change; to control number of crew in Kilimanjaro by building more huts and other facilities which need people to go on climb; conserve environemnt by planting more trees";"control climate change; infrastructure; reforestation";NA;NA;NA;0;0;0;1;0;0;0;0;0;0
96;Red;27;Tourism;Tourism;ES.LIV;Other - livelihoods, economy, employment and income;Other;NA;NA;High;"income from toursim activities; employment; feel scenery of mountain view";"material; cultural";"income; employment; scenery";decreased;"human activities; climate change";"human activities; climate change";Increased;more awareness about the area;increased awareness ;Decrease;Deteriorate;Yes;"more awareness about the mountain and its nature is needed; human activities should be controlled";"awareness; control human activities";NA;NA;NA;1;0;0;1;0;0;0;0;0;0
97;Red;33;Nutrition;food;ES.FOD;Food and feed;Provisioning;NA;NA;High;"food for human beings (protein); employment";"physical; material";"food; employment";increased;"population increase; illegal fishing; climatic change";"population growth; illegal fishing; climate change";Increased;NA;NA;Decrease;Deteriorate;Yes;"education on the importance of fish to the human being; resist illegal fishing; awareness on the environment conservation; promote / give priority to aquaculture";"education; control illegal fishing; awareness raising; aquaculture";NA;NA;NA;1;0;1;0;0;0;0;0;0;0
98;Red;8;Nutrition;food;ES.FOD;Food and feed;Provisioning;"Agroforestry; montane forest; home gardens";"agroforestry; forest";High;"Healthy balance of ecosystem; maintain biodiversity of ecosystem; regulate climate change";"cultural; security";"healthy ecosystem; maintain biodiversity; regulate climate change";decreased;"Trading traditional diets with conventional diets; people moving to urban settlements and outside the country to be educated and coming back with non-traditional practices of cultivation and consumption";"loss of traditional diets; migration to urban areas";Increased;infrastructure has become better;improved infrastructure;Decrease;Not change;Yes;promote heritage foods through the hospitality trade of the tourism sector: misnistry of tourism, ministry of health, ministry of transport.;promote heritage food;improve the value chain through better and accessible infrastructure;improve value chain;NA;0;1;0;1;0;1;0;0;1;0
99;Red;3;Nutrition;food;ES.FOD;Food and feed;Provisioning;NA;NA;High;"improve health of the people; enable getting well and balanced diet at a proper time";physical;"health; balanced diet";increased;"obeying the national laws of preserving the environment (deforestation); following proper methods for agricultural activities";"law enforcement; proper agricultural methods";Increased;it is available to the market places under low costs because production is high for instance honey, fish, etc;"low prices; high production";Decrease;Not change;Yes;more education is needed;education;more community groups are needed;create community groups;NA;0;0;1;0;0;0;0;0;0;0
