ID,language,timestamp,Date,Time,age,location,Firegion,RespSex,HouseHoldSize,ORIG_HouseHoldSize,UnPSunF,PSunF,OatCer,Nuts,Fat,FruBer,Bread,Insects,Pigfat,Game,Fatcakes,Seedmix,OatPorMue,OatSheaf,leftover_fish_pota,NoFood,ORIG_OtherFood,FeedChange_NOchange,FeedChange_YES_started_5y,FeedChange_YES_stopped,FeedChange_YES_more,FeedChange_YES_less,FeedChange_YES_longer,FeedChange_YES_shorter,FeedChange_Change_quality,Conflicting,Check,WhyChange_NoReason,WhyChange_Expenses,WhyChange_MoreBirds,WhyChange_Timing,WhyChange_NewLocation,WhyStop_LackOfTime,WhyStop_NotMaintain,WhyStop_HighFoodConsumption,WhyStop_HighPrice,WhyStop_Neighbours,WhyStop_HousingRules,WhyStop_AuthoritiesRules,WhyStop_BirdWatchers,WhyStop_LackOfSnow,WhyStop_Diseases,WhyStop_Magpies,WhyStop_Cats,WhyStop_Dogs,WhyStop_Ravens,WhyStop_Jackdaws,WhyStop_Jays,WhyStop_Squirrels,WhyStop_Deer,WhyStop_Rats,WhyStop_Woodpeckers,WhyStop_Crows,freeze,snow,AllWinter,ground,summer,OnlyBirds,Birdwatch,CLASS_OpenRespChanges
2537,F,14/03/2021 16.32,14-03-2021,16.32.44,51-60 years,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,Man,2,2,1-20 kg,I do not offer peeled sunflower seeds,1-20 kg,1-20 kg,3-5 sticks or 5-20 fat balls,I do not offer berries or fruits,I do not offer bread,NA,1,NA,NA,NA,NA,NA,NA,NA,Talia,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat agree,NA,I agree,NA,NA,I somewhat agree,Occasionally,NA
2538,F,14/03/2021 16.29,14-03-2021,16.29.26,51-60 years,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,Man,2,2,1-20 kg,I do not offer peeled sunflower seeds,1-20 kg,1-20 kg,3-5 sticks or 5-20 fat balls,less than 1 kg,I do not offer bread,NA,1,NA,NA,NA,NA,NA,NA,NA,Talia,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I agree,I agree,NA,I somewhat agree,Occasionally,2
2539,F,15/03/2021 14.33,15-03-2021,14.33.21,61-70 years,Rural area,Northern Finland north from Tornio and Kuusamo,Woman,2,2,1-20 kg,I do not offer peeled sunflower seeds,I do not offer oat or other grain,1-20 kg,1-2 sticks or less than 5 fat balls,less than 1 kg,I do not offer bread,NA,1,NA,NA,NA,NA,NA,NA,NA,Talia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat agree,NA,I agree,NA,NA,I somewhat agree,Occasionally,0
2540,F,14/03/2021 20.55,14-03-2021,20.55.17,61-70 years,Rural area,South-Finland south from Pori-Tampere-Mikkeli,Woman,2,2,21-40 kg,1-20 kg,1-20 kg,I do not offer nuts,3-5 sticks or 5-20 fat balls,I do not offer berries or fruits,I do not offer bread,NA,1,NA,NA,NA,NA,NA,NA,NA,Talia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I agree,I disagree,I agree,I do not agree or disagree,I disagree,I do not agree or disagree,Occasionally,0
2541,F,03/03/2021 21.12,03-03-2021,21.12.23,61-70 years,Rural area,South-Finland south from Pori-Tampere-Mikkeli,Woman,2,2,21-40 kg,I do not offer peeled sunflower seeds,1-20 kg,1-20 kg,3-5 sticks or 5-20 fat balls,I do not offer berries or fruits,I do not offer bread,NA,1,NA,NA,NA,NA,NA,NA,NA,talia,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat agree,I disagree,I agree,I agree,I disagree,I somewhat disagree,Rarely or never,0
2542,F,14/03/2021 8.19,14-03-2021,8.19.07,51-60 years,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,Man,2,2,21-40 kg,21-40 kg,over 40 kg,1-20 kg,over 5 sticks or over 20 fat balls,less than 1 kg,I do not offer bread,NA,1,NA,NA,NA,NA,NA,NA,NA,Talia,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat disagree,I disagree,I agree,I agree,I disagree,I somewhat disagree,Regularly,NA
2543,F,14/03/2021 10.09,14-03-2021,10.09.53,NA,Rural area,South-Finland south from Pori-Tampere-Mikkeli,I do not want to tell,NA,NA,21-40 kg,I do not offer peeled sunflower seeds,I do not offer oat or other grain,1-20 kg,over 5 sticks or over 20 fat balls,I do not offer berries or fruits,I do not offer bread,NA,1,NA,NA,NA,NA,NA,NA,NA,talia,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I disagree,I disagree,I agree,I agree,I disagree,I somewhat disagree,Occasionally,NA
2544,F,15/03/2021 16.57,15-03-2021,16.57.01,61-70 years,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,Woman,2,2,I do not offer sunflower seeds with peels,1-20 kg,1-20 kg,1-20 kg,1-2 sticks or less than 5 fat balls,I do not offer berries or fruits,I do not offer bread,NA,1,NA,NA,NA,NA,NA,NA,NA,Talia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I agree,I somewhat agree,I agree,I disagree,NA,I agree,Regularly,0
2545,F,04/03/2021 17.49,04-03-2021,17.49.14,51-60 years,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,Woman,2,2,I do not offer sunflower seeds with peels,1-20 kg,I do not offer oat or other grain,21-40 kg,1-2 sticks or less than 5 fat balls,I do not offer berries or fruits,I do not offer bread,NA,1,NA,NA,NA,NA,NA,NA,NA,Talia,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I disagree,I disagree,I agree,I disagree,I disagree,I do not agree or disagree,Regularly,0
2546,F,13/03/2021 22.04,13-03-2021,22.04.42,51-60 years,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,Woman,2,2,I do not offer sunflower seeds with peels,1-20 kg,1-20 kg,1-20 kg,3-5 sticks or 5-20 fat balls,I do not offer berries or fruits,I do not offer bread,NA,1,NA,NA,NA,NA,NA,NA,NA,Talia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I agree,I agree,I somewhat agree,I somewhat agree,I disagree,I somewhat disagree,Regularly,NA
2547,F,30/01/2021 22.15,30-01-2021,22.15.18,61-70 years,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,Man,2,2,I do not offer sunflower seeds with peels,1-20 kg,1-20 kg,1-20 kg,3-5 sticks or 5-20 fat balls,I do not offer berries or fruits,I do not offer bread,NA,1,NA,NA,NA,NA,NA,NA,NA,Talia,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I agree,I agree,I agree,I somewhat agree,I somewhat agree,I agree,Regularly,4
2548,F,15/03/2021 13.52,15-03-2021,13.52.03,over 70 years,Rural area,NA,Woman,1,1,over 40 kg,NA,NA,NA,3-5 sticks or 5-20 fat balls,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,Talia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I agree,NA,I agree,NA,NA,I do not agree or disagree,Regularly,0
2549,F,14/03/2021 11.32,14-03-2021,11.32.24,over 70 years,Rural area,South-Finland south from Pori-Tampere-Mikkeli,Woman,2,2,over 40 kg,I do not offer peeled sunflower seeds,over 40 kg,I do not offer nuts,3-5 sticks or 5-20 fat balls,less than 1 kg,1-2 breads,NA,1,NA,NA,NA,NA,NA,NA,NA,Talia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat disagree,I disagree,I agree,I agree,I disagree,I somewhat agree,Occasionally,2
2550,F,06/03/2021 18.52,06-03-2021,18.52.34,51-60 years,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,Woman,2,2,over 40 kg,I do not offer peeled sunflower seeds,1-20 kg,21-40 kg,over 5 sticks or over 20 fat balls,I do not offer berries or fruits,I do not offer bread,NA,1,NA,NA,NA,NA,NA,NA,NA,Talia,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I agree,I agree,I agree,I agree,I disagree,I disagree,Regularly,1
2551,F,14/03/2021 15.14,14-03-2021,15.14.55,51-60 years,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,Woman,6,6,over 40 kg,I do not offer peeled sunflower seeds,I do not offer oat or other grain,over 40 kg,over 5 sticks or over 20 fat balls,I do not offer berries or fruits,I do not offer bread,NA,1,NA,NA,NA,NA,NA,NA,NA,Talia,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat disagree,I somewhat disagree,I agree,I disagree,I disagree,I agree,Regularly,0
2552,F,14/03/2021 9.45,14-03-2021,9.45.08,61-70 years,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,Woman,1,1,I do not offer sunflower seeds with peels,I do not offer peeled sunflower seeds,I do not offer oat or other grain,I do not offer nuts,over 5 sticks or over 20 fat balls,I do not offer berries or fruits,I do not offer bread,NA,1,NA,NA,NA,NA,NA,NA,NA,Talia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I agree,I do not agree or disagree,I agree,I do not agree or disagree,I do not agree or disagree,I do not agree or disagree,Occasionally,NA
2553,F,13/03/2021 20.59,13-03-2021,20.59.00,51-60 years,Rural area,Northern Finland north from Tornio and Kuusamo,Woman,2,2,I do not offer sunflower seeds with peels,21-40 kg,I do not offer oat or other grain,1-20 kg,over 5 sticks or over 20 fat balls,I do not offer berries or fruits,I do not offer bread,NA,NA,1,NA,NA,NA,NA,NA,NA,"Talia (hirvi) n 1 kg, nylkyj‰‰mi‰",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat agree,I somewhat disagree,I agree,I somewhat agree,I disagree,I agree,Regularly,0
2554,F,15/03/2021 0.03,15-03-2021,0.03.51,61-70 years,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,Woman,3,3,I do not offer sunflower seeds with peels,1-20 kg,1-20 kg,1-20 kg,3-5 sticks or 5-20 fat balls,less than 1 kg,I do not offer bread,NA,1,NA,NA,NA,NA,NA,NA,NA,Talia 1 kg,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat agree,I somewhat disagree,I agree,I agree,I disagree,I agree,Regularly,NA
2555,F,14/03/2021 15.10,14-03-2021,15.10.58,61-70 years,Rural area,South-Finland south from Pori-Tampere-Mikkeli,Woman,2,2,over 40 kg,NA,NA,1-20 kg,over 5 sticks or over 20 fat balls,less than 1 kg,I do not offer bread,NA,1,NA,NA,NA,NA,NA,NA,NA,talia 1-2 kg,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I agree,I somewhat disagree,I agree,I somewhat disagree,I disagree,I somewhat disagree,Occasionally,NA
2556,F,04/03/2021 18.26,04-03-2021,18.26.53,51-60 years,Rural area,South-Finland south from Pori-Tampere-Mikkeli,Woman,2,2,21-40 kg,I do not offer peeled sunflower seeds,21-40 kg,1-20 kg,over 5 sticks or over 20 fat balls,I do not offer berries or fruits,I do not offer bread,NA,1,NA,NA,NA,NA,NA,NA,NA,Talia 1kg,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat agree,I somewhat agree,I agree,I agree,I somewhat agree,I somewhat agree,Occasionally,0
2557,F,13/03/2021 21.15,13-03-2021,21.15.51,61-70 years,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,Woman,2,2,over 40 kg,1-20 kg,over 40 kg,1-20 kg,over 5 sticks or over 20 fat balls,I do not offer berries or fruits,over 5 breads,NA,1,NA,NA,NA,NA,NA,NA,NA,Talia 20 kg,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat agree,I somewhat agree,I agree,I somewhat agree,I somewhat disagree,I disagree,Regularly,NA
2558,F,14/03/2021 18.23,14-03-2021,18.23.53,61-70 years,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,Man,2,2,over 40 kg,1-20 kg,I do not offer oat or other grain,I do not offer nuts,3-5 sticks or 5-20 fat balls,less than 1 kg,I do not offer bread,NA,1,NA,NA,NA,NA,NA,NA,NA,Talia 5 - 10 kg,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat disagree,I disagree,I agree,I do not agree or disagree,I disagree,I do not agree or disagree,Regularly,NA
2559,F,13/03/2021 21.04,13-03-2021,21.04.55,51-60 years,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,Man,1,1,I do not offer sunflower seeds with peels,1-20 kg,1-20 kg,1-20 kg,over 5 sticks or over 20 fat balls,less than 1 kg,I do not offer bread,NA,1,NA,NA,NA,NA,NA,NA,NA,"Talia less than 1kg, kauralyhteit‰ 35kpl",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat disagree,I disagree,I agree,I agree,I disagree,I somewhat agree,Occasionally,NA
2560,F,01/03/2021 14.58,01-03-2021,14.58.01,51-60 years,Rural area,South-Finland south from Pori-Tampere-Mikkeli,Woman,2,2,21-40 kg,1-20 kg,1-20 kg,1-20 kg,over 5 sticks or over 20 fat balls,NA,1-2 breads,NA,1,NA,1,NA,NA,NA,NA,NA,"Talia ehk‰ 500g, itsetehtyj‰ rasvasiemenjuttuja 500g",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat agree,I somewhat disagree,I agree,I somewhat agree,I disagree,I disagree,Occasionally,0
2561,F,13/03/2021 22.57,13-03-2021,22.57.54,61-70 years,Rural area,Northern Finland north from Tornio and Kuusamo,Woman,2,2,I do not offer sunflower seeds with peels,1-20 kg,I do not offer oat or other grain,1-20 kg,3-5 sticks or 5-20 fat balls,I do not offer berries or fruits,I do not offer bread,NA,1,NA,NA,NA,NA,NA,NA,NA,Talia ihan pieni m‰‰r‰,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat agree,I do not agree or disagree,I agree,I somewhat agree,I do not agree or disagree,I agree,Regularly,1
2562,F,13/03/2021 21.08,13-03-2021,21.08.27,61-70 years,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,Man,2,2,I do not offer sunflower seeds with peels,1-20 kg,1-20 kg,1-20 kg,3-5 sticks or 5-20 fat balls,I do not offer berries or fruits,3-5 breads,NA,1,1,NA,NA,NA,NA,NA,NA,Talia ja poron rasvaa,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat agree,I somewhat disagree,I agree,I somewhat disagree,I disagree,I somewhat disagree,Regularly,NA
2563,F,02/03/2021 14.36,02-03-2021,14.36.09,51-60 years,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,Woman,3,3,21-40 kg,I do not offer peeled sunflower seeds,1-20 kg,I do not offer nuts,3-5 sticks or 5-20 fat balls,I do not offer berries or fruits,I do not offer bread,NA,1,NA,NA,NA,NA,NA,NA,NA,Talia jos myynniss‰ ehk‰ 500 g,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat agree,I somewhat agree,I agree,I somewhat agree,I do not agree or disagree,I somewhat agree,Occasionally,0
2564,F,02/03/2021 9.26,02-03-2021,9.26.49,61-70 years,Rural area,South-Finland south from Pori-Tampere-Mikkeli,Woman,1,1,I do not offer sunflower seeds with peels,1-20 kg,I do not offer oat or other grain,1-20 kg,3-5 sticks or 5-20 fat balls,I do not offer berries or fruits,1-2 breads,NA,1,NA,NA,NA,NA,NA,NA,NA,talia joskus,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat agree,I somewhat disagree,I agree,I somewhat agree,I somewhat disagree,I somewhat agree,Rarely or never,NA
2565,F,02/03/2021 21.50,02-03-2021,21.50.19,31-40 years,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,Woman,2,2,I do not offer sunflower seeds with peels,1-20 kg,I do not offer oat or other grain,1-20 kg,over 5 sticks or over 20 fat balls,I do not offer berries or fruits,1-2 breads,NA,1,NA,NA,NA,NA,NA,NA,NA,Talia muutama kilo talvessa,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat agree,I somewhat disagree,I agree,I disagree,I somewhat disagree,I somewhat agree,Occasionally,0
2566,F,14/03/2021 7.06,14-03-2021,7.06.11,51-60 years,Rural area,South-Finland south from Pori-Tampere-Mikkeli,Woman,2,2,21-40 kg,I do not offer peeled sunflower seeds,1-20 kg,1-20 kg,3-5 sticks or 5-20 fat balls,I do not offer berries or fruits,I do not offer bread,NA,1,NA,NA,NA,NA,NA,NA,NA,Talia n. 1 kg,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I agree,I somewhat agree,I agree,I somewhat agree,I disagree,I somewhat disagree,Rarely or never,0
2567,F,16/03/2021 13.52,16-03-2021,13.52.54,51-60 years,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,Woman,1,1,over 40 kg,1-20 kg,over 40 kg,21-40 kg,3-5 sticks or 5-20 fat balls,I do not offer berries or fruits,I do not offer bread,NA,1,NA,NA,NA,NA,NA,NA,NA,Talia n.500g,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I agree,I somewhat disagree,I agree,I do not agree or disagree,I somewhat disagree,I disagree,Regularly,NA
2568,F,24/02/2021 14.32,24-02-2021,14.32.59,41-50 years,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,Woman,3,3,I do not offer sunflower seeds with peels,21-40 kg,I do not offer oat or other grain,1-20 kg,over 5 sticks or over 20 fat balls,less than 1 kg,I do not offer bread,NA,1,NA,NA,NA,NA,NA,NA,NA,Talia noin 1-2 kg,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat agree,I disagree,I agree,I somewhat agree,I disagree,I disagree,Regularly,0
2569,F,14/03/2021 6.49,14-03-2021,6.49.27,61-70 years,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,Man,2,2,over 40 kg,1-20 kg,21-40 kg,21-40 kg,over 5 sticks or over 20 fat balls,I do not offer berries or fruits,I do not offer bread,NA,1,NA,NA,NA,NA,NA,NA,NA,Talia noin 2 kg,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat agree,I somewhat disagree,I agree,I disagree,I disagree,I do not agree or disagree,Regularly,NA
2570,F,13/03/2021 21.38,13-03-2021,21.38.26,51-60 years,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,Woman,4,4,over 40 kg,I do not offer peeled sunflower seeds,over 40 kg,over 40 kg,over 5 sticks or over 20 fat balls,I do not offer berries or fruits,I do not offer bread,NA,1,NA,NA,NA,NA,NA,NA,NA,Talia satunnaisesti,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I agree,I do not agree or disagree,I agree,I agree,I disagree,I disagree,Regularly,NA
2571,F,13/03/2021 21.09,13-03-2021,21.09.21,41-50 years,Rural area,South-Finland south from Pori-Tampere-Mikkeli,Man,3,3,over 40 kg,I do not offer peeled sunflower seeds,1-20 kg,1-20 kg,1-2 sticks or less than 5 fat balls,I do not offer berries or fruits,I do not offer bread,NA,1,NA,NA,NA,NA,NA,NA,NA,Talia Occasionally tikkojen herkkua,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I do not agree or disagree,I disagree,I agree,I somewhat agree,I disagree,I disagree,Occasionally,1
2572,F,28/02/2021 9.58,28-02-2021,9.58.45,61-70 years,Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,Woman,2,2,over 40 kg,1-20 kg,I do not offer oat or other grain,21-40 kg,3-5 sticks or 5-20 fat balls,I do not offer berries or fruits,I do not offer bread,NA,1,NA,NA,NA,NA,NA,NA,NA,Talia tikoille,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat agree,I disagree,I agree,I disagree,I disagree,I somewhat disagree,Occasionally,NA
2573,F,13/03/2021 20.53,13-03-2021,20.53.03,61-70 years,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,Woman,2,2,I do not offer sunflower seeds with peels,1-20 kg,1-20 kg,1-20 kg,3-5 sticks or 5-20 fat balls,I do not offer berries or fruits,I do not offer bread,NA,1,NA,NA,NA,NA,NA,NA,NA,Talia tinteille,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat disagree,I disagree,I agree,I somewhat disagree,I disagree,I disagree,Regularly,NA
2574,F,31/01/2021 17.06,31-01-2021,17.06.33,61-70 years,City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,Woman,3,3,I do not offer sunflower seeds with peels,1-20 kg,1-20 kg,1-20 kg,1-2 sticks or less than 5 fat balls,less than 1 kg,I do not offer bread,NA,1,NA,NA,NA,NA,NA,NA,NA,"Talia, l‰ski‰",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat agree,I somewhat disagree,I agree,I somewhat agree,I somewhat disagree,I disagree,Regularly,1
2575,F,13/03/2021 23.23,13-03-2021,23.23.29,51-60 years,City/urban area,South-Finland south from Pori-Tampere-Mikkeli,Woman,6,6,I do not offer sunflower seeds with peels,over 40 kg,I do not offer oat or other grain,1-20 kg,1-2 sticks or less than 5 fat balls,I do not offer berries or fruits,I do not offer bread,NA,1,NA,NA,NA,NA,NA,NA,NA,"Talia, n4kg",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,I somewhat agree,I somewhat disagree,I agree,I disagree,I disagree,I somewhat disagree,Regularly,1
