location,Firegion,WhyStop_AuthoritiesRules,WhyStop_BirdWatchers,WhyStop_Cats,WhyStop_Crows,WhyStop_Deer,WhyStop_Diseases,WhyStop_Dogs,WhyStop_HighFoodConsumption,WhyStop_HighPrice,WhyStop_HousingRules,WhyStop_Jackdaws,WhyStop_Jays,WhyStop_LackOfSnow,WhyStop_LackOfTime,WhyStop_Magpies,WhyStop_Neighbours,WhyStop_NotMaintain,WhyStop_Rats,WhyStop_Ravens,WhyStop_Squirrels,WhyStop_Woodpeckers,single
City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,
City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,
Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,
City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,
Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,
City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,
Rural area,Northern Finland north from Tornio and Kuusamo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,
Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,
Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,
Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,
City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,
Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,
Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1
City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,
Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,
Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,
Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,
Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,
Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,
Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,
Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,
Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,
Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,
City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Rural area,Northern Finland north from Tornio and Kuusamo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,
Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,
Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,
Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,
City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,
City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Rural area,Northern Finland north from Tornio and Kuusamo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,
Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,
City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,
Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
City/urban area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,
Rural area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,
City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
Rural area,South-Finland south from Pori-Tampere-Mikkeli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1
City/urban area,Middle-Finland from Pori-Tampere-Mikkeli to Tornio and Kuusamo,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,
